,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
People under 30,1.5188586801235353,30.311812358505705,1.1908320533294323,-1.211255615076679,0.10603370340486501,0.0909084860605419,-1.5306295402990688,2.0847555025321722,-0.024896409347992032,0.45876503380608324,-1.762496291289289,-0.10356885405131352,-1.1719850224372437,3.0900971582095402,-0.11781786961637158,-4.6844098292811465,0.3530449620589919,-0.07705450297079046,-0.12348918573759154,-0.009986689653714076,0.0,0.0,3.748567057527655,16.297726891803382,6.6022577195109,0.014636966909566358,0.5415999029756066,0.27650532304598807,-0.10906427742758777,-0.8235586005714454,0.0,0.05726519955634853,-2.534470993526694,0.10048878436354854,1.752597149609803,-3.6200883288618204,-0.439119873450244,0.0917896521689363,0.3423325967511013,-4.041342820055977,0.08859111430515795,-0.6173603528026507,0.5151770645674547,-1.9439162867358928,0.0,-0.08625246220637624,24.98131431879699,-1.0041767024067503,1.910518748877515,-0.016796529418106255,-0.01725906809699509,0.38952697803150543,-0.38137734227039904,0.16661347037680727,0.9243808993480563,1.5390437081799175,2.5681840946389616,13.715620571137471,11.086030357067033,-0.47713755070639113,-0.6334391049089444,-3.556152509178665,7.1528214350549755,-0.2772553716064249,-0.26705588730738083,-0.4392136193630889,0.0,3.413230721595688,0.06659966961816621,-6.8717999088451585,2.648375374795098,0.5788854500977615,0.5703447797476361,22.050847692017108,-0.6717906171793822,-5.141316452381805,-0.21444952728029396,-0.15565721610352373,12.9198155688074,0.3547646868864178,-12.496950309280733,20.14979235026862,-28.243147439895484,-10.49126753943066,-1.5141760389065121e-05,0.4183326030823761,-0.07677130572382872,2.747837142609538,2.853158226580931,2.568055193253169,-20.799816577504878,0.38344739955492446,1.4517381368468083
People between 30 and 59,-3.2477132945161413,10.942846466351204,-5.917959253922794,-3.629612412079939,0.005050829433280167,-0.06414447187123086,1.30778035531182,15.749948381425932,0.019748384207989654,3.264930995978587,-2.794565549706375,-0.100525604617989,-0.03750411912537515,-4.58278791906693,-0.29053668764289703,2.6460962499864005,-0.529145681419694,0.08643466264156062,0.2149332184749881,-0.022186354244797323,0.0,0.0,-12.258353400641502,10.05024667460842,4.619814636633856,0.006513950370947608,-0.5705606592722087,0.6623996945121833,0.05512984711127496,0.8733021302166203,0.0,-0.04480316497823656,-2.7609106908267265,0.860347676812568,-2.801799669882701,8.133379970332664,0.2229896095979193,-0.5049588268023545,2.1562453097672583,0.2649273625397007,-0.0679249685660119,-0.44804958649708854,-0.0600964081950685,1.2790548056795223,0.0,0.3042980105067566,-8.738910361333842,0.45496347800146814,-1.1126337521606524,-0.03573616334100028,0.20024052461600347,-0.20617402194999013,0.18089467636808262,-0.08594512558518662,-0.3403281480673069,-2.686675675411018,-16.841274467392296,-10.731561349174255,-32.455311096682834,0.6061754604151943,0.0667261079848025,0.7339151938558891,24.104032463914294,0.24019927992234008,0.4035933364721989,1.081742064413005,0.0,-1.8243961807366196,-0.10784699534822216,6.890579307121223,3.9713006140508322,-2.4240854425009184,-4.3368941572062,-5.018662601004843,-0.3006887998622713,3.665061671391395,0.15095015751579977,0.23398042382301665,-1.4120145951517675,-1.0611721226202029,-40.452838888364546,-13.017449876686971,33.24094474714828,-0.002193909414325434,3.965787149552898e-05,0.04989482313991533,0.22321197103778004,2.5511798330705298,-2.972882684834338,-0.09038157126557612,10.118415456779243,-1.1711665718396627,-4.2044430636860195
People 60 and older,3.1440103770162593,-84.24264769264872,9.618220526827049,11.051352104091688,-0.14960769490329742,-0.042461231090686925,0.9146927375940538,-40.08361891949672,0.007226180267171526,-6.377103086868048,-10.883378065597537,0.41850833994776815,2.665366476981348,2.332108503387275,0.8697700646813007,6.082054714993919,0.7686890326612248,-0.04119138607763651,-0.12877845061318025,0.07967490896929992,0.0,0.0,18.81926044937184,-55.74967688239379,4.020902826896476,-0.04946858646297556,0.16543945514655803,-2.1068039295997827,0.12933064012658718,0.04545764098547384,0.0,-0.025342775323896484,11.01920638544914,-0.6754062520452236,2.400768154991411,-10.882644153262873,0.40630245926836267,0.8731333346220409,-5.856440263215135,11.045580794360799,-0.04224364959864009,6.203539367760668,-0.9899474342574462,1.7932971078658373,0.0,-0.48579491059441793,-39.89296932321956,1.7544535730209936,1.8287391777750086,0.1301683624955372,-0.527043838711604,-0.4452393492516043,0.2494635326869332,-0.6781490927431404,7.551490406131291,2.8302667197621876,32.80247566568552,-8.385382463862724,33.08768842698898,-0.5420575991614781,2.0413592717752365,2.5872985806699114,-73.58476056624818,0.09082091573440951,-0.2881353476419407,-1.4112794587686992,0.0,-4.41850137325566,0.13089715033790916,-2.4154589989143562,-17.04382563870437,4.549226953882268,9.601891342074543,-33.738175331381456,2.4680170958517236,6.374016670335454,0.1501963127786547,-0.1357634663899264,-26.657071051929094,1.508752109699575,127.24372612608254,-11.637777596898562,5.894046353213072,21.445433678083575,-5.3415931005981655e-05,-2.0097381660003437,-0.23455999814302642,-12.484125022714549,-1.6548618326730038,-4.631593682527226,51.09086427649554,2.195325095817133,7.763144868223679
All Hispanic or Latino People,-6.920983243543228,-139.39035476611494,118.36265741672715,-23.54140211792386,-0.06770081428695895,-0.38989447408125316,-12.009106672532461,74.26011168632563,0.05081941481397182,-2.8747945893846767,1.689838386839892,-1.4434540814972772,-3.2023153015979147,-48.04242523888568,-1.2652765956504912,8.156279650416405,-6.587881235472583,0.3823736062968725,-0.4463609422145126,0.27637492164392247,0.0,0.0,-86.96841315149406,51.655071274823136,15.549706830464373,-0.1531302325529001,2.551537634741849,-2.9511994214598336,-0.2560464338127374,-1.9308115142981261,0.0,0.7488248699082991,-33.45762418254045,0.8468794495041267,-18.092143668708832,29.38972896541197,1.4089928431697183,-1.103522568877051,12.899260000473062,-18.526883685349905,-0.11360802301675677,-14.947966513361408,-0.3174615120320594,-1.292845158763209,0.0,-0.017044511185492408,530.2865164637096,-3.6062396538945736,-11.643579115455346,0.022426984839626976,-1.3203621147210505,1.1463592249253631,-0.7272857029258288,-7.254204784635943,-0.40551098648985257,11.011027681422778,-85.137313506894,11.427337842951484,-122.20674094018672,-4.580567130212123,2.8563616079666936,-53.157661148020885,211.32427237724565,-0.4646960951083473,1.3550948515217556,-3.0554694036575833,0.0,5.9350437986905,2.5192879194413833,-36.22366803180279,67.75445730149404,-16.585628562100453,4.733826043000867,-250.5633392111488,0.43715068232048215,28.70741008136595,0.9000296449310485,-0.7217333247443998,44.85168028233775,-13.136678614648178,-165.44697671367925,35.548351455313494,-272.00813082611876,-62.374462492761104,-0.00011052681529375757,5.409507211016242,-1.3190525637673485,-24.0489554083209,8.992685296086005,3.992225867391531,-37.03217098870152,-3.591940955440163,-20.047847780475003
All non-Hispanic or Latino People,3.628125836407596,60.92727932635639,-61.568648241024,9.582874730975341,0.03434128407200955,0.10664308414104792,3.1211528253694203,-23.368799204335392,-0.014685992608139152,1.871698889800458,-4.335046378909308,0.38678708604059575,2.6618479393175827,7.542612228767575,0.2743779008758525,-2.269948755924351,2.5073978604558467,-0.07082586700936006,0.14129292953818437,-0.07272798694980867,0.0,0.0,26.560299247222943,-20.85772720337749,-2.1711146587270056,0.04488783372651689,-0.7730515946562012,0.7671137608900471,0.05716974976902357,0.613356699559285,0.0,-0.18000266209295185,11.957559587780793,0.05412068786102221,5.394134881441867,-10.749526070335781,-0.4040676577366121,0.34752702641579974,-5.649624750379281,17.09634265121399,0.035805297436157735,6.314887780304284,0.14215736866345205,0.7448544343437161,0.0,0.005697812634474794,-205.12479152981987,0.8610191676514619,3.0965814820797006,-0.02090969687836847,0.41647391586263105,-0.29178681518087174,0.15762112324984112,1.7556407357300832,1.8027368544484301,-4.769955867650673,26.802171675508013,-5.270087208870863,43.02952274456692,1.2107562806873307,-0.5698359040307939,20.323740488214085,-76.90934725986165,0.20482701479179882,-0.4974058528262244,1.2543054581171904,0.0,-7.047846359621706,-0.6020155538701922,11.62061716948457,-25.040265325151143,4.8329426549005925,-1.4501469718354354,88.38084787277654,-0.03962796593466044,-8.580153869917016,-0.2817007230781387,0.29987497242443995,-13.48207909719101,3.0510904280772975,58.64163017823594,-12.092950842359766,108.18576766458045,11.270149441456416,1.5724027483890788e-05,-2.209632436856401,0.36642027640166963,8.02408857790018,-2.8696046601918916,-1.1064719330331572,9.453576349070827,1.0420643315279983,6.3812449663450375
White People - regardless of Hispanic identification,-22.55861137312898,-24.271792858064586,11.425119443584528,-30.466916317584268,0.30535966526635283,0.23013818439068617,3.5111812838185545,174.75550900954647,-0.16452155193376794,5.131668883876681,-11.386186530716571,0.8233582308532743,-2.5586507722520873,-75.09033728743094,2.2710374060969363,0.9281924702141564,-0.9756180545885831,0.5315736321784388,0.44951292966924367,-0.00907490290149762,0.0,0.0,-114.69975828969346,69.3073023459174,2.8919861813044387,-0.12919212392405655,-2.6972051749174817,0.8633073579338554,0.16249806159537294,-2.479036742999608,0.0,0.47992550122925115,-38.23368966856378,-0.7912439944561996,-27.629108677756683,71.71847854583095,0.76138703796787,-5.428800559437854,13.22923202857513,-6.154454262913349,0.35082830323798353,-6.263676977397542,-0.8555200735311717,5.1203631581631575,0.0,2.295032722660323,95.00416469165505,1.0030906186671271,-1.1918684952801546,-0.008699402384169976,0.5943851908646663,-1.1825351652243783,1.7599092033770898,2.932770054608289,-2.3108772793160544,-16.15449534073509,-154.39034981024884,-51.515245555646416,-348.48990550197266,0.17523443800834518,-0.6836531873106483,16.5329018850819,349.71735798692475,0.45951248078526663,1.8529086719639045,2.7110770090620115,0.0,-6.501303720473653,-0.30844245639773926,6.738983671195236,92.44003541977386,-22.340565941548654,-31.757455572546487,-36.58422039501974,-0.18547284742989092,14.998314013280115,0.9388930607295108,-0.27206544249405445,-14.142742920452342,-15.19786404652945,-258.59823634491636,-18.830516030897627,99.69083206467756,-66.91517773616266,1.069917742099821e-05,2.5651037303844575,-0.8844922253951031,11.76503662978022,-14.681512183283248,-6.194545579423331,8.392692633650741,-6.893712239391779,-24.301092674949363
White non-Hispanic people,-29.2541888418862,67.24602680526475,-36.42258112337995,-29.244385396576778,0.47822489915255856,0.3454821190151006,7.014480166578595,238.21379149742194,-0.20183693598121008,7.957283153191087,-12.342418021694431,1.3014225530289063,-1.4177865151814877,-87.90423568953301,3.596337680189766,-0.7369128124889232,1.0518969608366049,0.5672760677639225,0.5037652597861757,-0.1243269936997447,0.0,0.0,-125.69342256364295,60.780666796476574,-2.904744609856392,-0.0598016400348887,-4.341163431393693,2.256146712770632,0.295616920688532,-1.446742427458779,0.0,0.15726523836245285,-41.376796092366696,-1.3853066696903158,-30.959362166375033,85.44911854443208,0.789266704392061,-7.599670287352243,17.195830170477816,7.179323001247391,0.5889526385387563,-3.8254138463685354,-0.8320257773182868,12.041646325946818,0.0,3.3711315727815805,-63.170217219663826,1.3465485304666773,0.36261824768081297,-0.10572918015483099,1.2300591893997364,-2.648202619881203,2.7842079435180933,6.5171951193328095,-1.6602501781380115,-28.40742182813766,-184.447400852917,-80.17189242569334,-420.49406278262353,1.3422498188018692,-1.1164817573494512,47.125896482937414,406.2529751359386,0.9598135395165587,1.90972486497513,6.057025677951653,0.0,-18.53648731127349,-0.7337858775150724,11.859011763835959,115.21026903543343,-23.700930363614525,-41.488458212980284,64.67385976139154,-0.6111040096532883,8.049569845933798,0.9397296529192908,0.7381147801253051,-29.014351342256376,-15.143692773107643,-292.5250517282737,17.939309986967857,267.10811448693664,-80.07412873225266,5.1318409736554675e-05,0.41736259154868144,-0.6720379247007987,21.09620914781761,-24.22747113538352,-11.775648621951019,39.854479640787744,-7.798957040565901,-24.506618335453684
Black People - regardless of Hispanic identification,44.848946810821985,31.02102247525489,-79.07448041301721,74.79952047260565,-0.22007226081890316,-0.2799268336938349,-15.061342393792712,-157.2845098164245,0.05176836391746031,-5.67768891379912,45.551363462114715,-0.7570381416983687,24.33028003261897,22.582418209955385,-0.6179344165344457,-2.306006650321842,5.0326825190245765,-0.6268393919510221,-0.05526227637949056,0.006238190372288233,0.0,0.0,97.27930524934789,-82.28060739920743,-2.8275072924948343,0.08328016408997795,2.8200410341593773,-0.4833295760822335,-0.26279525281273225,2.6653491183803255,0.0,0.8563844681038439,55.07186884337308,1.8841793070920074,34.41904881702349,-113.0296495066598,-1.7853459731033792,4.6319375997955525,-26.060388503485935,25.685551148332127,-0.4308604959755838,22.63901603221861,0.5183313394703013,-7.471715759376563,0.0,-1.6719349459319621,-345.52227193984817,0.2061314915682748,16.17840917626796,-0.01996418479663816,-2.8088530847941056,0.37858359386628954,-1.3657614255760138,-7.9145906368812025,9.949207662474755,27.450199373815362,171.55673050115007,85.83688420378336,574.5596853815239,-0.28458422059431226,6.761824828430027,-42.76359273952606,-604.6840873807843,-0.7677670413262161,-2.2592798175268163,-3.2027965491447308,0.0,14.628792718500785,-0.797208191477456,-13.132825391020798,-73.66992746622294,31.54608103332686,89.63501333314653,92.2609532758807,2.129982846117597,-25.645364359532692,-0.7974908380016976,0.14412227081524892,5.190289887064596,14.03881810963439,699.2279126513852,-42.382531656004524,29.186376920706653,25.095864263238912,-0.00019763267244931896,-5.529139570902035,0.7031393403712455,-8.117386181120493,17.133755736221474,4.3775320313870925,4.879494854179074,13.00355783728921,125.66465247935028
Black non-Hispanic people,45.55590759767568,30.774605874344985,-82.75109425862739,75.59599908348153,-0.22365554702998552,-0.2638779707813777,-15.264190931692807,-158.89188187516504,0.044884349181869315,-5.281562543786875,46.309581050992065,-0.8134203643641555,24.61863063235838,22.78839888217283,-0.6575488372799191,-2.320584839570291,5.102357430273862,-0.6300894094388133,-0.042422403625713374,0.008484671264435887,0.0,0.0,98.15220287789539,-83.73909133727314,-3.213702924973429,0.08141002036658987,2.8498615137471686,-0.4868507683073215,-0.2736072631410997,2.6248522576420497,0.0,0.8484764026319166,55.91594263319167,1.8028003342954542,34.75107581697348,-114.44459494905949,-1.7617018801462725,4.7366395745373895,-26.4534379447664,26.452143898347064,-0.47310736287244815,23.22148807899906,0.504474556184365,-7.6324533771642775,0.0,-1.6731032249886673,-355.75271832195875,0.1856152089692358,17.17363754838657,-0.01194673150616093,-2.7799040117046983,0.3848666164557745,-1.373524506547458,-7.841805807577546,10.19877617161506,27.63908377289134,173.03130207459276,86.23770042122243,581.2710518608745,-0.42506845135694665,7.298154507061343,-41.59208045090991,-612.7807934374134,-0.7693637712479634,-2.2633977448789495,-3.2045429810609605,0.0,15.146288628214732,-0.7861444975126142,-12.24135179584603,-74.48319296319748,31.90657390687204,91.27966894318075,92.16523210313488,2.103596031421807,-26.283433264640003,-0.8353572306214135,0.16555838017383126,5.01516814703943,14.118756202985342,710.8029494244078,-42.991585872937215,21.224083218595055,25.34159193863016,-0.00019859355003310337,-5.549603081474547,0.7204492245499656,-8.827343145115846,16.986521620805718,4.388206244821822,5.409515946746732,13.134551118871315,128.29790605419993
Asian People - regardless of Hispanic identification,-54.981538337375454,235.275719220272,-111.20890612563855,-111.50036241172604,0.6145426005144273,0.5847022418871604,4.0681874319310465,129.8599354679671,-0.06283771065616686,3.9286383760171297,-14.16679589895966,3.1553612729771907,0.704704829862714,-86.55948229028803,0.968896387514559,-9.636246792877724,-3.4583861409830807,0.28564990848167454,-0.3029320530205357,0.001883819040164583,0.0,0.0,-111.3077341952717,159.73061621098526,2.907297309943677,0.07722825714040872,-5.071129091668179,4.391592134867608,0.12487207540134179,-2.8263743230559046,0.0,-3.7592937438344713,-95.70789393280882,-0.6252373589978021,-27.509925517182495,21.421449763511905,2.1037357248446034,-3.5282278500134168,20.698419277432766,7.5123596337307035,0.7819595217199797,-10.086067326522006,4.16223311712321,18.28728576161743,0.0,1.8853100546685542,-287.30839972893585,0.3562087414671741,0.1996048125525941,0.18586775332633845,5.642440356067345,-2.4146912592339502,2.439889659525829,12.072984927482954,0.030563577743673145,-26.85395241012005,-156.4233180056269,-8.887614629238948,-566.1546725556598,3.2626508981396602,-3.7273855394690254,142.10869234793034,319.51783455378705,1.4027568687463936,3.0999469945770994,7.341016705452332,0.0,-18.439175118806347,0.14168228781166603,48.894764433695975,126.62936020762805,-17.406222543975552,-10.230750891598047,186.29865553083516,-8.592904857844914,-28.41924252587218,7.173953512907879,1.613864167797956,-9.91238177799686,-16.08360694068899,-58.1515339189565,-38.83561688104843,-371.8099638423707,-104.00622770873548,0.00012842624461443307,1.1003865579442584,-1.690521586033209,14.08886020899173,-4.34836692818573,-3.6386272552189536,287.37193057199005,-3.050186210364136,-19.925077977709805
