,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,30202943.800314594,26022314.822377462,31337244.225984503,38040282.53202288,32910377.169968143,35831849.048610106,20307147.991446685,30427752.628305774,26181952.768958233,46057035.158430256,26333627.99891381,32623410.532987233,33048203.761314526,34618111.527269706,26487854.190995,28126955.362046417,34659513.892131746,39832156.91384163,32358467.430495135,35126443.524497196,35155350.32012702,29427989.36770262,34118672.26837951,31579448.34898962,33935090.08581613,24727016.588984456,29846107.36045211,22606287.483752247,17649614.58968168,27458404.8498575,24346923.87564159,31545578.39124519,29708323.902133875,26864764.456523027,32591324.726963334,27915615.577284053,28350547.564624947,27680866.188066807,33279768.25779097,28946626.341318812,25829044.793572083,44654883.887711525,8520402.292065782,30798896.914873168,21163319.297990885,27343358.249894895,31363082.090840388,49778369.09627173,32873825.981642198,28121242.214000758,29479052.1079693,23596565.465459324,32850090.487042785,30127822.02668103,37394334.41984969,31829645.372683235,29428919.861755393,27568555.360582456,29577293.199371178,36613961.53768319,34642582.49816168,21871246.615770686,31802239.60773515,35155108.484554715,33913270.38637191,33400148.878415257,36930717.88117928,27445763.11923307,49273204.06692139,32723728.551155265,28975393.76255322,34473595.17505718,19654285.314776246,30578591.588935178,31315616.97189819,24928423.244935345,29606238.358587038,27124672.747274198,31103450.188972328,31252157.480606474,20233568.463105902,24397871.14278297,23581375.555234198,29634781.403482243,32621132.036314044,24685678.0621663,31833435.408335783,33889820.59146473,30125728.36727177,36048006.10850504,27545047.905980557,35307984.834622964,34369295.40172458
People between 30 and 59,30072737.199964236,26302439.200088188,31130919.90212406,38029642.613644004,33105704.462482985,35712029.11105173,20352708.49321094,30383622.17693088,26002853.12186162,46601816.58412005,26767906.350758035,32729983.328679174,33148566.198499426,34693922.1006755,26405254.193006504,27759644.0214536,34691144.68850851,39864238.90052604,32104536.997813724,34888288.052698694,35217758.77519346,30114230.478001952,34488734.282973096,31456148.351178966,33776746.66417943,24708463.762455232,30187409.820265554,23094999.662210803,18898775.141247828,27782151.53925783,25060424.888146874,31191631.521963816,29655052.023946684,27231478.56379123,32872418.56290866,27806096.6081025,28145011.638919592,27701191.559532594,33205255.649914194,28889077.379340626,27298446.666480772,44484162.009884104,8509351.9123486,30688374.083643775,22840706.411629755,27839811.663185287,31199868.785100125,49351418.4254682,32788045.833578516,30155928.086616952,29859417.91453414,23861407.994254418,32920695.677660182,29941567.082215708,37064419.58333905,31898016.2371885,29499044.807686165,27653264.470107023,29583913.877392974,34378374.109676294,34609054.39090442,21836604.463747334,31767884.217226766,35393661.40158689,34138415.3459,33401861.18552856,41489922.10004075,27812504.055463634,49059832.88527403,32678826.70483769,28793774.908908837,34597870.887802415,19317179.18010066,30479723.10498269,31287512.999935254,25140264.33415601,29943570.095349737,28629755.4731726,30901987.96669587,31369051.211605128,20495797.63717736,24415292.08892858,23475240.664189044,29888014.138029873,32737750.024435233,24771446.435592264,31998506.963591818,33984980.897268504,29936197.48338897,36106721.15221574,27921533.791685108,35321888.805902,34550788.710350856
People 60 and older,30022929.997687027,26148960.01499808,31252746.865831845,38046572.01056313,32522165.21332254,35277487.99138234,19740893.808133684,30605231.776608642,24609267.553023346,47103113.88938175,26761517.89460924,32699066.734732684,32851023.39932023,34405771.90588937,25705284.022498246,27737302.75450338,34367051.700451754,40081589.41099368,32151419.0083234,34459889.45871128,35345717.43324978,32052095.3656144,34237363.88880095,31454249.854817413,33744162.02422546,24623054.29484827,29519660.350943238,23308830.11307763,15000889.653404877,26412774.210249897,27159243.54231143,31626891.26496405,29835420.29218552,26145309.20540592,32795872.627423797,28151702.424865812,28833121.970341478,27933226.506355606,33095669.49252508,28841318.2952105,26458853.576628227,44564481.65052503,8207366.518925554,30464462.60531878,21316900.259448558,28227416.952602744,31208445.094995327,49319658.84543558,33449482.52667032,28978555.581557225,30035334.963480864,22506977.832362067,33221002.88308324,30000339.543914586,36342473.741569944,32057493.225616124,29597155.960954096,27770587.31469122,29610418.371259663,35723857.05230755,33394338.216348592,21637712.11153691,31882655.62488483,35706490.72677032,33916634.641491815,33532420.433788914,36206041.87255969,27854544.322179675,48930720.359163694,32668331.87429263,28852126.54780303,33986632.12778676,19221077.130582426,30521974.220896088,31513973.287712198,25709053.08816334,30197443.25167849,27686863.826191507,30895285.153306574,31335514.889280815,19603101.564988736,24594443.88857763,23629032.28446218,29529383.220499795,32398840.97721859,24997597.098130576,32207818.368897382,34037099.78560207,29034711.647138484,36419826.999118,27151327.815076854,34338108.80518199,34254449.26088623
All Hispanic or Latino People,30630769.701565556,25987573.31449344,31583677.826919656,38842140.58943382,34503994.69209724,36365849.256555445,19491996.911947884,29991566.582183477,26023474.043784432,43998969.83871035,26644123.845914237,33318008.582949605,32953444.24433526,35863090.73189753,27279641.720447082,28342217.710832227,37649138.3587598,37754637.44266564,32286052.190564107,33742510.314692736,35321779.0565337,28115087.56165175,34172657.71047656,31700566.240743294,34268583.51476082,25289878.178461656,29984339.157318648,24048109.079689253,14880823.019305019,29010337.591909222,17187032.0,32871222.316768806,29434701.401715342,24066550.06097611,32436816.035151318,28121028.837721623,30331902.658478197,26885981.75564055,33226700.9909485,28075443.486216422,26348249.892019402,45574227.27373951,8626853.669349333,31207376.95887954,20263491.922978178,25494796.12666683,31770452.638556086,50783503.74151154,34159146.40134893,27714256.900278725,30123301.979803324,23393623.403293256,32833488.86909192,30265621.204603128,38067708.25231024,31538456.29402088,29400294.756653864,27300443.342713375,29013069.41496352,40967642.51666744,36448305.07547726,21697724.98471016,31466195.86081547,36022043.64020298,34250988.49185888,33611683.71348749,32905963.329348475,26167716.631184228,49673922.9860714,33097704.731145136,29210901.884349905,34960059.97916282,17973741.597286183,31357767.75709934,31013049.454210866,26002314.20908069,27816963.375175446,28214494.48733172,30742182.799957093,31752165.73696104,19702168.675598044,25459626.416010175,23486096.212882105,28506535.128069546,34575144.98145581,25774668.448552907,31683966.176205724,34392568.007230334,30382330.866655655,36628228.476586476,27866629.01932069,36283747.91391696,35054562.387767985
All non-Hispanic or Latino People,29888554.397356123,26240595.937993027,31087322.55522912,37654670.84762337,32298681.080237556,35440495.388084635,20773709.738805246,30609282.397097662,25668233.773277156,47646287.67922805,26561858.15016868,32448363.189262066,33148274.79169598,34226887.55025469,26090192.445747178,27746787.32455133,33406142.81190407,40522297.40704983,32178116.88741878,35369723.903327264,35152076.68533614,30444502.82903484,34334689.05352638,31419875.819652375,33646450.18814154,24538076.439253632,29970157.782897867,22525161.963547118,19411244.302595552,26816387.15471171,27127299.983525537,30734848.852674372,29811058.79446175,27949663.110878456,32861676.305227805,27790352.532605708,27760327.680931076,28094428.951203816,33225328.433043607,29284749.124740668,26734264.927299086,44159471.11100791,8401040.21875451,30454929.84325099,22879865.00943054,28548226.380054846,31034074.386126265,49053677.8742418,32213652.274570405,30377044.534128483,29604216.66653702,23405393.335370436,32982300.956151783,29919671.61332532,36778380.831771724,32034234.955576763,29518421.96343654,27767922.08072093,29819757.334595535,33403183.676048525,33774428.3394629,21892957.33334223,31904847.79779076,34993086.30454717,33926616.930950694,33330868.726149265,43563066.72995119,29135539.010338165,48921482.56086511,32496354.08869228,28745101.722394727,34257043.93077209,20010435.57987534,30168826.47849743,31438194.81107489,24785604.73544944,30647083.410414014,27610741.857015382,31078935.994687382,31126592.874412153,20579400.020038895,23978559.562944114,23570397.89713956,30262983.25977595,31909732.173523407,24410328.93802216,32097826.214739677,33781412.23788038,29700567.265483093,35904994.53947676,27550182.33453032,34899328.21269614,34191834.916103825
White People - regardless of Hispanic identification,29902443.888871994,26573570.97123748,31015487.909679323,37416950.671899974,32246404.61619656,37434821.82922118,20423638.705183,30233168.106989883,26867400.514259037,47246784.29322077,26682577.677859392,32197542.5474785,33164774.7026535,35695156.8779185,26851383.90701819,27306723.085718088,34232624.74638283,39759562.39989644,31963918.490139987,34753533.55274372,35051969.54671966,29315785.778623864,34930373.02425552,31237745.3613382,33711451.41158614,25666152.966558725,31024890.316183466,23096247.574945305,17667637.374102343,27787466.40640714,17187032.0,31170707.064097393,29350804.703858696,27762164.183230232,32857231.76314546,27390618.032862883,27736084.972360414,27882763.610618934,33477902.582020175,28971423.076510467,29168785.303281806,43581907.993567586,8344278.119225553,30824083.411639556,22993130.101133022,26705498.394443158,30686594.30668539,48838413.905567385,32927263.730560984,32780172.625761088,29665209.361548994,19944064.97033894,33352076.44616362,29661138.296382114,37070564.45995456,31912739.759745423,29542834.59548405,27684141.47091291,29269860.105901927,34062436.48108789,33742273.2422244,21991426.550940994,31380869.878686246,35741524.08226389,34153835.59356479,33141832.230203632,38851926.50826924,28938513.053509858,49025359.8367517,32820034.506012075,28978658.69574066,34992619.08765377,19827336.505207222,30218354.631062396,30977063.32483084,24826481.668024357,30125712.576550636,27558689.226253096,30541085.34519078,31618804.276398942,21739210.802144684,24739959.304669693,23518566.958191458,30620786.62081464,32623860.501615115,25935576.827993724,32395913.76396832,34080480.39652817,29373749.46230152,36699562.1611961,29326419.33067244,37115308.238312,35335448.511945456
White non-Hispanic people,29693988.987987403,26708956.38986125,30832987.16616963,36938857.22459412,31501205.068439998,37517335.09071588,20525439.0640533,30283043.083300427,27253732.217773438,48214209.46786109,26658884.05172581,31861854.411756776,33257483.952777475,35596498.75931771,26576546.95264666,27022887.420222018,33278236.666455094,40497798.82305369,31910346.090365104,34975296.12900914,35084254.398786835,29689418.780868,35078110.32734808,31105528.740273785,33506897.568224475,25718518.629346825,31354673.554052163,22664736.814922042,17575282.864536084,27295266.436992373,17187032.0,30734038.844989337,29409217.586307816,29089342.278007463,33004473.559744958,27119217.106114797,26692075.68723147,28193997.184663206,33525153.821158886,29220842.222679086,29978935.305313963,43018710.0892979,8237414.571691837,30739647.749747057,23702663.17071006,27294617.029758446,30357306.306343857,48499876.46281293,32917901.870244645,34169951.913881764,29630697.794562697,18891605.23272659,33518573.01673541,29628354.127113175,36769182.24899035,32019770.040986452,29579691.69090394,27781496.201672498,29313585.69142422,32000113.568704735,33066315.56628098,22113177.05192591,31312928.123857826,35579979.91610813,34194992.57373323,33006548.10857488,40894489.736803696,29709392.027662594,48830577.64640245,32784448.809175458,28863757.503457293,34974108.96532768,20452626.074269336,29885188.165894408,30902625.340251904,24343549.462990098,30941325.57138319,27392086.281621635,30487691.506058328,31549683.86761134,22368506.714649983,24489094.45713119,23512077.995244943,31321416.572070975,32007790.922349147,25901827.05522616,32570040.1208092,34008397.26749135,29187759.64732563,36689565.1079362,29692703.431541048,37217371.71594564,35347800.07179506
Black People - regardless of Hispanic identification,30212818.09654781,25582752.905025385,31418897.276443526,38392756.580609106,32590889.01099745,32247625.141306795,22033157.655434653,30957424.332814258,24386724.771697894,47134193.590648934,26167761.207788534,33307154.670738026,32242561.239318904,33137522.44137667,26032090.59076815,28556653.125588756,33416207.864956245,40277181.94418517,32412240.755234275,36876641.77990923,35246757.26602093,31750341.3735281,33585590.78081315,31817389.96562795,33763537.76507118,23662771.800536033,28003820.754936893,22646308.046715528,21093797.47434074,26591795.38034562,41573297.32188841,30991780.981504407,30392230.34973928,26639100.74471537,32654832.140576582,28682708.671932314,28067091.4800981,27966572.716732554,32994262.652306564,29595010.67876463,23168606.735826056,46110239.4929364,8617476.052783169,30274970.30232203,19055835.31792841,29350857.811505355,31852640.344363194,51157542.35890663,28878010.045669742,27723179.498619415,28852589.920029312,25637124.528207954,32320260.464765046,30526219.653917674,37278672.92469592,32069781.091543347,29294119.24511123,27649735.12069524,30310454.734282233,37282630.71335111,36993528.518500715,21371524.469748896,32696425.330885205,33747178.24714378,33519985.984464306,33558933.87314043,50085545.5764091,28209624.018002253,49536756.80721379,31910425.729412843,28742302.207500726,33378011.659432963,18273289.770520844,30484344.94711543,32089630.86678585,25891970.45310034,30698528.319455337,27953988.80703714,31970997.234702192,30817306.934946664,17406211.575246666,23367079.50953643,23808683.458291765,29442963.220572192,32510630.340352654,22521433.093106497,31624363.09174986,33544068.23969434,30091646.72811261,35118111.86406205,25776300.36506994,32159836.15269851,32643008.958974678
Black non-Hispanic people,30212017.550782017,25578041.815679554,31413638.477639038,38407892.07278806,32619776.57750748,32206966.165332988,22056600.745763436,30970791.428999633,24430402.68455877,47141461.840993635,26142961.374164145,33349186.767203372,32225026.41469501,33120042.546487536,25968006.990551487,28556070.948485762,33417049.05142579,40291703.14827151,32425300.071242638,36931361.48578373,35259042.51069474,31771204.500658058,33583923.40279745,31804997.927495897,33759131.28142104,23664191.127169672,27986173.26488817,22654031.482112836,21258626.992446635,26590835.61675756,41573297.32188841,31039555.831979055,30413928.223939843,26640617.53606842,32670290.859299455,28697600.352820102,27825958.433575016,27988440.135313578,32999509.023604274,29628692.781976547,23162337.72742283,46088199.8663297,8623771.798297495,30280171.897037335,19100644.730769232,29377449.722351555,31862062.724128857,51211601.02402206,28835301.999723423,27731602.57699631,28787426.462516278,25673853.81639839,32322048.91059764,30514046.50166799,37307278.227112204,32075863.320355665,29301927.285645083,27638449.079807557,30324723.994306006,37362815.701481014,37027914.03580488,21368873.35324451,32718177.18945442,33732818.88685102,33508901.393854152,33563359.97685709,50291562.742616035,28226087.319632024,49528430.02795725,31898370.94423152,28742583.96672725,33352135.5128469,18262694.690291878,30483863.73060207,32114906.892477803,25940150.798424616,30683490.97622603,27962836.901649415,31987170.091222186,30802303.311125286,17371793.076431632,23354323.833926644,23811055.757028818,29454957.984797288,32521730.003090136,22529981.34825264,31607350.877213623,33535887.63524201,30108145.330300335,35119551.301292375,25766716.138154745,32117905.86025717,32620790.056272727
Asian People - regardless of Hispanic identification,29297196.13316384,27020179.783163857,30914094.641033363,38248225.59439354,33583044.1815704,36811339.496247664,20926961.965512548,30497866.534888677,33130502.084374942,47104247.01439288,27161891.23877363,31371568.248698395,34109873.4614686,36041337.00495114,25830787.09141608,27607502.133231353,33802266.871755645,42007764.209257446,32404152.44352369,33754934.29143527,35394761.78353617,30964865.047077857,34403744.36989951,31233045.75200192,33868208.49320591,24512376.62768257,32066121.744130306,22041998.57903183,19639768.112820514,26434081.28515183,17187032.0,29332911.444247484,28537920.387569644,26829467.990085356,33193998.012668163,27331821.31914992,31853498.92726114,28285632.43240232,32955756.247717652,27615380.12665992,30543792.45481108,43648716.51315592,8255929.484786472,30024722.840561476,25435793.0,29027015.196294792,30924225.507659085,48625351.301989876,33880557.85199524,27664054.089232516,31849741.781641904,18161328.427595258,33339593.735977113,29266969.112598505,35858520.341420665,31952779.65481609,30148077.32835433,28289352.670731187,30111947.009450976,33073176.337118722,34876852.51510279,22903432.75127896,31481119.09369265,37696605.94744506,34783022.00664585,33839221.807963125,51950688.456364244,29374175.058521386,48703912.50906222,32700606.106266405,28216270.800892606,34713822.79543291,22835349.29538248,30299622.24486336,31099601.702903826,23052121.122289136,30170212.696899224,23683945.112792436,30438781.339677595,30469176.430676285,21050910.33691327,24431224.00711834,22846730.431493323,30427163.12125543,30600730.417679764,26042051.848542422,32184513.339259367,33776884.75523321,30324238.15930551,36005995.096415125,27915139.257613424,34648143.40619857,34808855.126685485
