,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Animal In Trap Complaint,Bee/Wasp Removal,Bicycle Request/Complaint,Building Violation,Bungalow Rehab/Purchase Information Request,Business Complaints / Reopening Issue,Cab Feedback,Cable TV Complaint,City Vehicle Sticker Violation,Clean Vacant Lot Request,Clean and Green Program Request,Consumer Fraud Complaint,Consumer Retail Store Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Dead Bird,E-Scooter,Extreme Weather Notification,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Home Buyer Program Info Request,Ice and Snow Removal Request,Inaccurate Fuel Pump Complaint,Inaccurate Retail Scales Complaint,Lead Inspection Request,Licensed Pharmaceutical Representative Complaint,Liquor Establishment Complaint,Low Water Pressure Complaint,Minimum Wage Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Solicitation Complaint,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Outdated Merchandise Complaint,Paid Sick Leave Violation,Pavement Cave-In Inspection Request,Pet Wellness Check Request,Petcoke Dust Complaint,Porch Inspection Request,Pothole in Street Complaint,Protected Bike Lane - Debris Removal,Public Vehicle/Valet Complaint,Pushcart Food Vendor Complaint,Recycling Inspection Request,Renters and Foreclosure Complaint,Report an Injured Animal,Restaurant Complaint,Ridesharing Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Shared Housing/Vacation Rental Complaint,Sidewalk Cafe Complaint,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Smokeless Tobacco at Sports Event Complaint,Snow - Object/Dibs Removal Request,Snow Removal - Protected Bike Lane or Bridge Sidewalk,Snow – Uncleared Sidewalk Complaint,Stray Animal Complaint,Street Cleaning Request,Street Light On During Day Complaint,Street Light Out Complaint,Street Light Pole Damage Complaint,Street Light Pole Door Missing Complaint,Tobacco - General Complaint,Tobacco - Sale to Minors Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Planting Request,Tree Removal Request,Tree Trim Request,Vacant/Abandoned Building Complaint,Vehicle Parked in Bike Lane Complaint,Viaduct Light Out Complaint,Vicious Animal Complaint,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Wire Basket Request,Yard Waste Pick-Up Request
People under 30,1397.7754578890624,1204.2212599995255,1450.2931648357783,1760.5965636351457,1523.1329378142127,1658.3522122474728,939.6280948699577,1408.1795699449724,1211.6035052248235,2131.7585249758004,1218.632403645456,1509.8558770631264,1529.4847880387874,1602.1800012862454,1225.7598159370843,1301.6588997559359,1604.0962107160149,1843.5896493885862,1497.5794316752927,1625.7318101476153,1627.073647361788,1361.8587019048261,1579.0568724090606,1461.5020763499942,1570.5666673890266,1144.248770670827,1381.2629421315387,1046.0231200156452,816.6513400194015,1270.6867520782635,1126.5702937205606,1459.9249569922379,1374.88159372776,1243.1700365748634,1508.335757245626,1291.883595917409,1311.9956215129437,1281.0052316163994,1540.22480618266,1339.6072064490668,1195.2995768323135,2066.866576267486,393.96506727776733,1425.3851225767644,979.2103914801773,1265.3775039699447,1451.4949682521258,2304.0088849917056,1521.3941831353736,1301.4039454564363,1364.2485541093304,1091.8974250256542,1520.339300451821,1394.2909126462832,1730.700531997721,1473.0925795194462,1361.9450572637988,1275.819556127676,1368.8020173789232,1694.5576691180945,1603.3428156237355,1012.0549403396117,1471.8126844403582,1627.0439931238013,1569.5443746567541,1545.8030018845611,1709.0251188181737,1270.1308751282083,2280.706010341936,1514.4821321829377,1340.9602813944423,1595.4978413765607,909.4147247613076,1415.173706107761,1449.2908074487498,1153.5929553567994,1370.1572687303212,1255.265521129681,1439.4830910099029,1446.3580171195374,936.192755687627,1129.0154690804163,1091.2389284869232,1371.4697172219383,1509.724505512909,1142.3825076462513,1473.268618475255,1568.4577598485212,1394.1951633088524,1668.3701346303399,1274.765346100498,1634.130062329669,1590.6732255875015
People between 30 and 59,1391.749425620181,1217.1899029337358,1440.7431443328214,1760.1079632285657,1532.171316306258,1652.8087379580124,941.7493988396515,1406.136619522464,1203.3090906724408,2156.9780734066617,1238.7357924554287,1514.776574931947,1534.1319168458958,1605.6901609927847,1221.9391542093183,1284.6527280236023,1605.5650821756476,1845.0776760362162,1485.8258527625337,1614.6940709354603,1629.9566269540082,1393.655524151128,1596.1887770701067,1455.7943554394944,1563.2361720958086,1143.391993486245,1397.0640718717732,1068.661436001918,874.4989214611581,1285.6808347535014,1159.6120971996243,1443.5377589932648,1372.4171683658712,1260.1564115188037,1521.3505611117048,1286.8136769466357,1302.4508460155714,1281.9453455750809,1536.7774592989454,1336.937320834839,1263.2998562964888,2058.9687624519634,393.45539540040016,1420.265203940149,1056.8615437029573,1288.3618298553324,1443.9388783198394,2284.2518770383494,1517.4316795300906,1395.6023662739321,1381.849152211032,1104.157727312758,1523.6054457972705,1385.6711387052596,1715.434533334709,1476.2580453933758,1365.1919829146102,1279.7412049741172,1369.109274983655,1591.055057101798,1601.7662183752163,1010.4555758118461,1470.2206349792766,1638.0880081884657,1579.965533952098,1545.880156414678,1920.0379654305393,1287.1105809284977,2270.841918637679,1512.403941390926,1332.55068514667,1601.2518104578498,893.8093739203329,1410.5970568367873,1447.990515078898,1163.3962056813407,1385.7870194001257,1324.9393279679055,1430.1572371054067,1451.7667253767665,948.3412890826555,1129.8240214813852,1086.3240226930836,1383.191284359765,1515.122510839682,1146.3575194411105,1480.9151195762954,1572.8665537805978,1385.4181008949524,1671.0875384735316,1292.1922308844473,1634.7697508467484,1599.071843021096
People 60 and older,1389.4439944074657,1210.0849659600028,1446.381146956789,1760.9007376926183,1505.1560595281944,1632.695085147349,913.4359632148203,1416.396413552238,1138.7991076415146,2180.1864835804986,1238.4462756027767,1513.3566374522188,1520.3605254272825,1592.3489747714025,1189.5523145052098,1283.6207754783693,1590.5674637146935,1855.1426349689107,1487.9981387704554,1594.868547554602,1635.8993851641885,1483.405791665772,1584.549753391807,1455.7058600188498,1561.7283833924846,1139.4364568631665,1366.1445502518545,1078.5828388923173,693.9637119231245,1222.2898024690471,1256.807128872526,1463.709261353286,1380.7636465146936,1209.8776869684648,1517.8069777143098,1302.8183544256822,1334.2939363901817,1292.6904836940244,1531.7016364934443,1334.7282609027666,1224.4633972602371,2062.6870271272005,379.4701512108174,1409.90005138527,986.3531416113108,1306.3105812303488,1444.3371266249742,2282.7838361105973,1548.0661533880327,1341.1041148508214,1389.997720253658,1041.4290373574756,1537.507553187258,1388.397957805016,1682.017838660747,1483.6420121213976,1369.7355137004504,1285.1736985001128,1370.3366165939603,1653.316938537301,1545.5131700716427,1001.2486026034742,1475.5349803174927,1652.5635217425536,1569.699591976321,1551.918567828433,1675.4642953818786,1289.0511092850086,2264.9150845409627,1511.9174371900192,1335.2550447210763,1572.9534423176217,889.3508962016153,1412.5528164619943,1458.478231832758,1189.733383134597,1397.5399706569433,1281.296725043228,1429.845514771174,1450.2138996311849,907.0170187166196,1138.115345087226,1093.44443640346,1366.5900532213745,1499.434707916346,1156.8155716274746,1490.6032076678875,1575.2773927134465,1343.6909574676288,1685.5830352442765,1256.530575397441,1589.2249560747107,1585.350989221072
All Hispanic or Latino People,1417.5783403227954,1202.6090571470183,1461.7023206814729,1797.726448922824,1596.942144567766,1683.072661040457,901.8743584332823,1387.9844697745225,1204.293997213718,2036.4793486656522,1233.011227813784,1542.0434491772146,1525.0881654179445,1659.8129910888201,1262.4100753820612,1311.6158690100137,1742.4901833858494,1747.3962655494106,1494.2254880406042,1561.646204491549,1634.7815450893063,1301.1365145827317,1581.5493104948935,1467.1107177688066,1586.003992277184,1170.3189153924745,1387.6722310638245,1112.759733540006,688.621138996139,1342.534724332227,795.0,1521.3139650176004,1362.2101780560295,1113.6078436394434,1501.1823052624145,1301.3947752789043,1403.691212861776,1244.194861759563,1537.7676610854464,1299.269952546274,1219.2740107713535,2109.473674095642,398.890606502354,1444.2967342543584,937.5077021822851,1179.8219201042389,1470.3500843889653,2350.4864824937213,1580.8874691163433,1282.549148828714,1394.086106707793,1082.4726466685431,1519.5684056634113,1400.682159391114,1761.8421867898614,1459.6091025956832,1360.6169928323893,1263.4084749892752,1342.678186829524,1896.111031863501,1686.9640399015552,1004.0230544624983,1456.2615532593488,1667.1963084609777,1585.1998480309946,1555.609260073273,1522.714883442917,1210.9699833425686,2299.2122103314,1531.8047794994852,1351.8608742238669,1618.017836128052,831.6093013251725,1451.245584105546,1435.2884426255528,1203.3231762015582,1287.2911611091013,1305.7151922866838,1422.755135375269,1469.5073767177926,911.5952978708476,1178.1699775663953,1086.8181109615716,1319.2386298393078,1600.1775999424378,1192.8240713324121,1466.3570580395203,1591.728764097797,1406.0803423702212,1695.229360807356,1289.6510589263314,1679.299925609302,1622.3992479359679
All non-Hispanic or Latino People,1383.2238277391057,1214.3284523957773,1438.7239386846736,1742.7457244528878,1494.7981798540093,1640.23849581451,961.2439107653679,1416.58428334277,1187.8090245362666,2205.332519348501,1229.196540400408,1501.7331311507078,1534.1248988081873,1584.0694189333067,1207.357953025817,1284.0616563558576,1546.080636546497,1875.5468430905325,1489.2330204019397,1636.99057934338,1626.9163764250536,1408.9286310953325,1589.0598243608813,1454.114198091039,1557.2050172918734,1135.4991521002862,1387.0012826463367,1042.2868318002693,898.1794984120031,1240.969808898626,1255.32784184514,1422.3864346287621,1379.6405515431638,1293.4100327591495,1520.8531249250245,1286.0851038771154,1284.6566109130163,1300.155959919102,1537.7062074139028,1355.2590399298451,1237.213443371003,2043.9146561324908,388.44062874784794,1409.458386435815,1058.696590496917,1321.1488397679032,1436.265336672897,2270.486388291884,1490.8390615502747,1405.853200956725,1370.0321492221758,1083.0499222949734,1526.458728639718,1384.653768402611,1702.2018806921449,1482.565707099872,1366.0905546937995,1285.0490651964687,1380.0288808462676,1545.9050227382945,1563.1193957664473,1013.0631046313422,1476.5590640579735,1619.5329011289757,1570.1510900717155,1542.5867017528249,2016.0099372384936,1348.3531929144724,2264.4567856533076,1503.9517573561184,1330.2995404590724,1585.4734309290995,925.903821613319,1396.2039095642263,1454.96490631687,1146.971760105147,1418.3648969250255,1277.7688408321403,1438.3498728920422,1440.5421215241909,952.2095599267236,1109.6042535461327,1090.7339169907013,1400.5507207606483,1476.790717965882,1129.6249001109438,1485.5084953959836,1563.4431478999682,1374.5101523233732,1661.749834943547,1275.0006566624297,1615.2084289336776,1582.453663760155
White People - regardless of Hispanic identification,1383.8635631463003,1229.7424472434823,1435.399212580432,1731.7351355685064,1492.4104236001153,1732.5602380282853,945.0194010352343,1399.1699722886683,1243.325072438437,2186.8362616717814,1234.7898561076886,1490.137437039212,1534.8738871891783,1652.0344170004196,1242.6054228802573,1263.686606547333,1584.331885727956,1840.2333077195783,1479.313445674655,1608.4488940107974,1622.2811982861353,1356.6826734727538,1616.6356399019496,1445.6816863361894,1560.21706150074,1187.7420615610843,1435.8315515049735,1068.712417880151,817.5524683178498,1285.903189815947,795.0,1442.5712948569133,1358.3332792986844,1284.7083098046612,1520.6459727831623,1267.5780108629774,1283.4990952998726,1290.3520110620157,1549.3996960984741,1340.7521664060964,1349.8843369935673,2017.1929975271325,385.8051933535396,1426.550368070953,1063.874692141566,1235.8441560669255,1420.176413377392,2260.5246452929555,1523.8773939946054,1517.0934789591643,1372.8501411348304,922.8205096420187,1543.5820496381762,1372.688086118745,1715.7207485966333,1476.9386481525269,1367.2192214695124,1281.1748786543262,1354.5688838581693,1576.4225433350464,1561.635440126834,1017.6279687559585,1452.2935818846804,1654.1856223077941,1580.6723961859761,1533.8384800796766,1797.9639332219806,1339.2428101714459,2269.2321809784166,1518.9416062781738,1341.1132318960827,1619.5255931473694,917.4282908905367,1398.4944327815851,1433.6156356376102,1148.8705238950106,1394.202334612556,1275.3514013115343,1413.447125462922,1463.329668145296,1005.90325285627,1144.8558782790926,1088.327913706994,1417.1166875512022,1509.848507934329,1200.2560989802225,1499.3078401060845,1577.2926417238532,1359.3769583495098,1698.5395756804369,1357.2320281941302,1717.799553877508,1635.3984179668028
White non-Hispanic people,1374.2141159607972,1236.0111758791627,1426.9507433340043,1709.5985093755562,1457.908493690324,1736.3786348542897,949.7360296965842,1401.4787616598949,1261.1940283352446,2231.6226098640113,1233.6921660172438,1474.5841621176999,1539.166526580234,1647.4659198494917,1229.893022399522,1250.548186424469,1540.150672192985,1874.4163867320608,1476.8330772386769,1618.7173362507424,1623.772545073691,1373.9646230139929,1623.4772640297656,1439.5597477202305,1550.74903566795,1190.1662066580934,1451.0963734851996,1048.741411731776,813.2540206185568,1263.1093227015706,795.0,1422.349965170817,1361.040979041745,1346.1588620692855,1527.462958907118,1255.0136367553553,1235.1577029307964,1304.764206707819,1551.5874469517912,1352.2991040216734,1387.3927227969523,1991.1010625108065,380.85799239125123,1422.6416794429485,1096.7396449704142,1263.106860255147,1404.9331756847077,2244.868333700406,1523.4519582219657,1581.4383829275623,1371.2464916589101,874.1167890476402,1551.2910244607037,1371.1651604006163,1701.7821261998447,1481.8942239259925,1368.9261869118216,1285.6825534259665,1356.59389349802,1480.9427307311491,1530.3329574005243,1023.265364555503,1449.1431664211239,1646.702098602269,1582.5703893635182,1527.5695251914506,1892.5198248601314,1374.9311777286766,2260.227809549142,1517.2911821206483,1335.7948208238486,1618.6686174811193,946.3786287708971,1383.0694510047535,1430.1682452693242,1126.50958276097,1431.9715146338722,1267.6403433280648,1410.9758976602577,1460.1289980541378,1035.0376915760098,1133.2426744753936,1088.0290581236357,1449.5516414069402,1481.3265587386707,1198.6845178125097,1507.3673192551248,1573.958800481956,1350.7629679128775,1698.0787226759498,1374.1896853461433,1722.5220520118012,1635.9710238251282
Black People - regardless of Hispanic identification,1398.2387750243197,1183.873473158069,1454.0727881596194,1776.9304615557937,1508.3060985399336,1492.4385126409077,1019.5805735530487,1432.7047740597363,1128.4912621122078,2181.6295590103373,1210.9496309437206,1541.4888773437542,1492.2238310163777,1533.6410448814104,1204.6552296980083,1321.555519828405,1546.5521416780264,1864.192694027117,1500.0763925881668,1706.7705845983307,1631.3123665333314,1469.4188398536926,1554.3787911323782,1472.519553428573,1562.6187868492557,1094.960495856822,1295.9686216888583,1047.899034232246,975.995181581697,1230.5892860996203,1924.3133047210301,1434.2760968691384,1406.542755504178,1232.7514887054429,1511.2796990502072,1327.397050381055,1298.9106320113956,1294.239448581557,1527.0048024052994,1369.6252122627666,1072.1793927736765,2134.2277794575016,398.4726543922391,1401.1249618562294,881.8077625402348,1358.3097626972453,1474.1631359398345,2367.851218795854,1336.396709371305,1283.0039080341978,1335.2610226891218,1186.355726277521,1495.8043011623427,1412.7342293566287,1725.3548525752256,1484.211631120123,1355.7050273904697,1279.5715317559952,1402.7477964069237,1725.5186972864274,1712.1591300011426,988.9134363597102,1513.220666459123,1561.8556316197557,1551.3288962868166,1553.1470631756056,2317.8335989005795,1305.4646662529558,2292.982970347167,1476.824943915064,1330.1666594377307,1544.7805375740538,845.4698971822181,1410.8153889140403,1485.1256263226865,1198.20053044718,1420.7422720720606,1293.656402536909,1479.6516060272259,1426.2234897315632,805.3009070750396,1081.2921583337845,1101.7694304841318,1362.5866404035544,1504.6360533255252,1042.1662465899171,1463.5873940126462,1552.4451015978423,1392.622802897672,1625.3132261294227,1192.8779249673466,1488.3836472818448,1510.746672350095
Black non-Hispanic people,1398.2016880823546,1183.655387355454,1453.8293354451164,1777.6309921766815,1509.6429880087042,1490.555710430283,1020.6673685572662,1433.3236500146063,1130.5141526827774,2181.966236686452,1209.8011479504219,1543.4354343669015,1491.4130133906222,1532.8320709480884,1201.6885199293718,1321.528639061786,1546.5913380940938,1864.8651019805402,1500.6809863006627,1709.3040980241512,1631.8814748182415,1470.3832256520698,1554.3015900469773,1471.945776479501,1562.4147540355016,1095.0258984306981,1295.1515253454832,1048.2558481991352,983.6269293924465,1230.5453794921812,1924.3133047210301,1436.4878342118968,1407.5475722592846,1232.823681960352,1511.995203572231,1328.0863034598096,1287.7448314970836,1295.2520067433202,1527.247851080879,1371.1844749580384,1071.888026314661,2133.206234328568,398.76418322271877,1401.365488368463,883.8799058084772,1359.5414605097762,1474.5994761818984,2370.353173307207,1334.4186274097547,1283.3936597934496,1332.2447783807684,1188.0548481364376,1495.8871773836904,1412.1704690510246,1726.6798516525007,1484.4932371288903,1356.0667123862106,1279.0488674176936,1403.408561415255,1729.2301188438028,1713.752302125463,988.7905513098274,1514.2276554342168,1561.189799452166,1550.8157849160705,1553.3519191015264,2327.3670886075947,1306.2267076659796,2292.600376905235,1476.2669408557356,1330.1798005312687,1543.5826907090095,844.9792295385759,1410.7932088914101,1486.2958550246808,1200.429923438418,1420.0469731448395,1294.0656104467555,1480.4003622636637,1425.5286199586149,803.7075817167114,1080.7015412346245,1101.8794119379108,1363.1422447975622,1505.1507047742537,1042.5617724668366,1462.7998199521608,1552.0660895065635,1393.3861019901399,1625.3800576732228,1192.433838611992,1486.4423531779596,1509.7177699435606
Asian People - regardless of Hispanic identification,1355.8444154378406,1250.4200377077352,1430.705247539819,1770.2129305363094,1554.2765110377284,1703.6866966185019,968.3716445184436,1411.421114513279,1533.2426168384084,2180.2299901811725,1256.9656281384366,1451.8633288531191,1578.6786785320503,1668.080963005086,1195.4013595143017,1277.6127784292798,1564.427734089026,1944.3288215429986,1499.693378022781,1562.2543513770665,1638.1311093682327,1432.9949622781758,1592.256332729818,1445.4603729183764,1567.4756463679557,1134.3279946867165,1484.043897006878,1019.9269253035732,908.5512820512822,1223.2988031494551,795.0,1357.4937015680932,1320.6977776623544,1241.5575348780133,1536.2312414446458,1264.8649724126453,1474.1263905536562,1309.0012301747488,1525.2389944284546,1277.9741385099746,1413.5407083725772,2020.2670201388755,381.71295588127975,1389.541950514765,1177.0,1343.3132182319596,1431.1758292568165,2250.6062269515082,1567.9888429783134,1280.2398723258257,1473.9869064832938,840.2623155796705,1542.9945223984244,1354.4457274613885,1659.6080902672916,1478.8020402042177,1395.2480939111147,1309.1898289699475,1393.5567809928236,1530.6364913080274,1614.1629074438326,1059.8480215805462,1456.9410545070998,1744.6916828488118,1609.808859033272,1566.1222921173164,2404.1551944661446,1359.4211183859516,2254.4296889398793,1513.4045385682066,1305.820507427359,1606.619170274393,1056.7013781945946,1402.2563768856294,1439.290415557057,1066.6786133016158,1396.3767611409944,1096.065696506186,1408.7086313027924,1410.1093593465353,974.0444907083496,1130.5595532204245,1057.2357848988577,1408.1541840436148,1416.179213660281,1205.167241930905,1489.541888094166,1563.2431404918902,1403.3828545179988,1666.4291471144181,1291.8976595913537,1603.5821128252767,1611.0254068373476
