,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
People under 30,3.1773007010007808,31.39704377933334,2.2217556884537215,-0.9262928210721053,0.14761020680636752,0.011051096764053284,-1.492387001977811,2.4463419199534866,-0.02093582699530833,1.77933197914917,-0.9482314331053538,0.009403149063439822,-1.0149412122905066,3.4209295637103425,0.15881678325968634,-4.746562981962705,0.5472356121649946,-0.1474518817475115,0.09046525089007429,0.026241915771918162,0.0,0.0,4.613157249788149,19.406693702497634,26.728836117116863,0.030596555841743193,1.0027999807714283,0.27588116780697985,-0.10906427742758777,-0.10203171293805666,0.0,-0.026385991758003997,-2.009016082938441,0.12079063271247929,2.569706705977093,-2.829483114034982,-0.07329839209013994,1.6976756915022833,0.2120542771815349,0.3065196625818318,0.10868953255583717,-0.5385157012259104,0.8234122115763114,-1.9299209341629637,0.0,0.013868186180709534,33.049006443398476,-1.0297847488050096,1.8253825501027894,0.03673012886171203,0.06519448332340755,0.41320970973401777,0.3144630279876199,0.22848992140424182,0.917345475899172,1.8604920541587873,4.22349293480807,15.165035435324498,13.572144879011544,-0.148722932903413,-0.5467630994639602,-29.995803360373817,22.879373505207422,-0.07384911217975496,0.6114827308320823,0.8411298817780578,0.0,4.008857836378489,0.109004466504873,-3.4918884060225612,2.887609733184806,1.0103249432106725,1.2418553688001797,27.02414263664397,0.06132048803513512,-4.706276051666104,-0.16018546278803344,-0.12324625273979249,16.079460811046914,2.751010712858757,-21.16990722163556,18.32554012614796,-26.54907125949823,-9.651617482915027,0.0,1.7992876813528957,0.5562659884445574,8.899382278034594,2.8621372052483216,5.918533001918511,76.2747722204267,0.7038435848309152,2.781577589523107
People between 30 and 59,-1.6238797545614936,12.037694360155983,-4.889775272253203,-3.3120039881636836,0.04696741690743137,-0.0936255539843567,1.336072200862388,15.994179724140082,0.0226518248482846,4.602141599512201,-2.002451011897689,0.021053715304084248,0.11404449240425811,-4.1929244242422214,-0.04480216554545411,2.5281791247226097,-0.3440227904038313,0.05484745398441408,0.40405651683480126,0.0009396668388236385,0.0,0.0,-11.29865266429942,13.236302600049855,25.584199810547027,0.021005980764842242,0.04652088878034349,0.6608012447840753,0.05512984711127496,1.3917249255318054,0.0,-0.11860630435169527,-2.2025459058112733,0.8694984978506852,-1.8933167734608969,8.903922280234084,0.4650727205795589,1.2747396069869257,2.0139278793666,4.467726821354962,-0.04267285599767575,-0.3811792810535648,0.2837961251149329,1.292512548902987,0.0,0.3986817057139017,-0.7489067964557864,0.4043674543013365,-1.1678397711251773,-0.00790945521562383,0.28533723404988937,-0.15284204049873226,0.8382022321395887,-0.015747014147511597,-0.3211855176611543,-2.124321033439455,-15.009425956438449,-9.231769952321821,-29.925903409522657,0.9604188994470529,0.16960433251445556,-28.192922318450663,39.64063373288186,0.43338021671511506,1.2635659106157513,2.3302800185121737,0.0,-1.1144260501010386,-0.07959099412937767,9.805543108210422,4.202218595582466,-1.9508750432027564,-3.622275050484018,0.01084041010084483,0.4462863749847153,4.105415601342475,0.20284347724173024,0.27407291317873766,1.7225510687193133,1.333783166966077,-48.813490881731155,-14.25399457746208,34.73993958091947,0.8592719668020722,0.0,1.2875009147204068,0.84455983665763,8.819150301628625,-2.970067392384621,3.5704766638277947,104.68402442624983,-0.9036472318249635,-2.8699986278630676
People 60 and older,4.734856956533976,-83.03390719555121,10.653535566761255,11.380997465958526,-0.10522265489194431,-0.06199215066304179,0.9421894892916464,-39.476186752047205,0.011059415717513139,-5.000306554068614,-10.084583652351517,0.41869632028731585,2.7962032936091337,2.669652643261947,1.0837469508352655,6.001118224216244,1.0303473020354914,-0.12759845173296666,0.06103130345492226,0.0925486770833119,0.0,0.0,19.485070018040624,-51.88660019703959,24.772714652724126,-0.04151553753453436,0.9827923576882799,-2.1018159111892243,0.12933064012658718,0.6885216329407827,0.0,-0.1261756502191734,11.631625709788748,-0.6753155798313696,3.2211517703172627,-10.073909736631947,0.553567276430591,2.5478989678071344,-5.980973094433368,14.77975816747681,-0.028442778048411384,6.24088921693614,-0.571309554315717,1.786072755504564,0.0,-0.373148547223699,-31.60185205099907,1.729683760673027,1.8258099732175115,0.12784028326232794,-0.4165788068693918,-0.40529886813752375,0.913102471200749,-0.6004044097122039,7.501518224277214,2.967402541984036,34.04436323348407,-6.854251710093448,35.48225548107804,-0.22147997982628334,2.1408141527541873,-29.177225583103144,-57.11451944679999,0.31255464929706345,0.6006427460593182,-0.10194312717753497,0.0,-3.680643405514633,0.07173163355668813,1.5646264818521824,-16.779676188202547,4.9242376644688886,10.317701379178706,-28.75257086737727,3.1724782330267978,6.7439162443065515,0.21424643260157908,-0.09861559695311212,-23.47929561245202,3.8800724898703023,116.15650105546653,-13.040373004259045,7.3679353436083375,22.279746260101856,0.0,-0.6696530743734193,0.3615861054549392,-5.634224808699925,-1.595164468333356,-0.9357159737159292,144.25582776366386,2.349051372382776,8.96723410752947
All Hispanic or Latino People,-5.0932258280127485,-138.04422781186665,119.20019869475699,-23.175463035801044,-0.0336150145587309,-0.36390352629554734,-11.890369358088597,74.08667579982564,0.05081941481397182,-1.655717321426833,2.512530517041126,-1.3828727858058112,-3.034031632860247,-47.33260500482264,-0.7928880614891426,8.089580271401124,-6.483217228188141,0.2658527488104967,-0.15512482826322838,0.31113781603697227,0.0,0.0,-85.22483379372875,54.691369081376436,32.70650652412276,-0.1366407302152145,2.3323280007951657,-2.956426982312754,-0.2560464338127374,-1.2813401346497502,0.0,0.6380386980400867,-32.9956396667103,0.8486751214853693,-16.904624966933245,30.071221871390627,1.5233895959745039,0.6233966064195611,12.704689877576248,-13.330413588391215,-0.1031912591711524,-14.771934926659435,0.13123646056288776,-1.2886426626948708,0.0,0.1179782529383861,537.703151521502,-3.6271149228239423,-11.5690558181765,0.06658025472751929,-1.2286723544756986,1.1641951921953382,0.027159162837678788,-7.1557270550036245,-0.41660620008097515,11.0736930749218,-82.44206842432766,12.972218284548251,-118.9107075845902,-3.6984903054527134,2.8835129643898236,-75.14294792040734,225.80406563220401,-0.3226977918888873,2.050914690384593,-1.7545235197814757,0.0,6.52738364454506,2.3613768979486585,-33.54352196398326,67.84759791880843,-15.921681485526342,5.4068778979753125,-245.2188751011012,1.219440633400886,28.868190030806797,0.9180251847676133,-0.6814078905700677,47.92555415841838,-10.5163174096399,-170.21319118991403,34.58008924513008,-270.0113511013009,-61.467828405963374,0.0,6.6516586385606224,-0.6428594647968161,-16.904066716646476,9.00469371037597,9.071665369233793,54.71067686778031,-3.2312230360731484,-18.418384237190708
All non-Hispanic or Latino People,5.1512301929167466,61.939125626628716,-60.438626117725555,9.865198045152951,0.07905619104903175,0.03983794940641502,3.1317195474159893,-22.842751806842795,-0.010163242087382793,3.260218043856688,-3.5353950214480885,0.4901985173146321,2.7965830976041404,7.841620729969182,0.48088516840027445,-2.3654307455791472,2.746065864470244,-0.11882717279931948,0.3144909067315399,-0.04839475607073152,0.0,0.0,27.160135254231083,-17.47353424558354,20.944778242419872,0.05808953905736617,0.06939620023022351,0.7684725758305104,0.05716974976902357,1.2341146902910358,0.0,-0.2550423685197869,12.546632619402514,0.06934297323256663,6.150347743718742,-9.92600250502734,-0.08837180932031091,2.0241286803232126,-5.757671243117693,20.36799552530097,0.060209984596847024,6.341955343648117,0.4389566754747965,0.7585660991413338,0.0,0.09399004667113527,-196.79342972364455,0.8225381097619551,3.0127753893389357,0.003799616084026125,0.5030358046597261,-0.2480753780851033,0.8095398362318778,1.8158891886491415,1.8021285321701428,-4.238243101289354,28.128557786407306,-3.808157363771538,45.20656384673538,1.4060672705403068,-0.4606508860224091,-10.752851644772601,-60.655862418920705,0.43406768499628773,0.4405135758676352,2.5154197400587783,0.0,-6.295489740977308,-0.5379198218904688,15.07554884551926,-24.746718359277345,5.206732477514219,-0.7435877995972148,93.25792861967253,0.6780978333424712,-8.069264485295118,-0.21481333218915138,0.33445916212127247,-10.305705014999313,5.388818279194137,48.19206937053608,-13.785193962566485,109.597342268661,12.106259763606346,0.0,-0.8668435261894789,0.9727709579677536,14.072083139774442,-2.8519883380670144,2.0157446588941443,105.21127279142732,1.2879793096549752,7.5905819475772995
White People - regardless of Hispanic identification,-20.811796406924696,-23.070007032158937,12.426260658620283,-30.052417309480575,0.33416517382558214,0.17749138294025915,3.522691874301324,173.98284370757378,-0.16449816614018015,6.439175849865611,-10.562438376703096,0.9685695270376985,-2.3837625808563545,-74.25518514313423,2.61852919418436,0.7750879681827558,-0.8436786451757838,0.44718550802123086,0.6505152358036379,0.01844844417233406,0.0,0.0,-112.78023811468985,72.12776011027707,24.288818455489658,-0.1119781607751682,-1.694168735584955,0.8622194473919049,0.16249806159537294,-1.6979889866560651,0.0,0.3771834458059878,-37.655402312867814,-0.7745432549717796,-26.155445427475197,72.36873722305508,0.7581046544739369,-3.1424206156696206,12.99992265049147,-1.9896284656207832,0.37325721199404466,-6.195782278924939,-0.4760798193973817,5.1078787401135815,0.0,2.3811045688308496,101.98731381009797,0.9740123639368128,-1.250528873458852,0.005371408458379187,0.6620306685806736,-1.1161884665096409,2.2523638407874267,2.9945048529646585,-2.296086215141705,-14.737897098085368,-150.9689839080005,-49.915314953441936,-345.3926530600353,0.5067306412737583,-0.5922584027541529,-15.443856386643507,363.4853523896794,0.6325500234880118,2.508624810318949,3.8724243883641543,0.0,-5.716559890057307,-0.2784257882490541,9.010707293702009,92.48737711766121,-21.581340710793874,-30.912431575883396,-31.43222468146319,0.6144144016661403,15.528636651856537,0.9545255837157337,-0.23516972890061846,-10.980735639650204,-12.608200749374204,-263.1825582982803,-18.561065549244248,100.78500500100101,-66.08539818881937,0.0,3.2736486046618714,-0.2426984431933233,17.77745693781073,-14.622897265792362,0.27760339355511765,96.49389588628262,-6.490552314029736,-22.692435581501528
White non-Hispanic people,-27.546674952174282,68.35545838372487,-35.35989669460847,-28.814958168345395,0.5062214095240787,0.2742503535080225,7.0072968446531885,237.07560010725396,-0.20179892781016937,9.283397273023857,-11.517936003013473,1.4709235845909736,-1.245218813978284,-87.02015603868477,3.853817800890765,-0.9164177480149215,1.231130755531041,0.4941177003602354,0.6770267428206196,-0.10161848737827654,0.0,0.0,-123.72679315543193,63.6170509814273,20.561546055673915,-0.04499793483144382,-2.9770332668368864,2.2567600728022823,0.295616920688532,-0.5952805026877925,0.0,0.05865653309076094,-40.72605341018891,-1.3586742961294405,-29.3720236538446,86.09402582293187,0.7609133769055042,-5.0799409411559875,16.937416794915436,10.317949139077584,0.6130440761003317,-3.783661632975242,-0.5109223224639909,12.013752390922734,0.0,3.419225888199488,-56.41106089376485,1.3180285880839953,0.28342033013006634,-0.12150428559270045,1.2954591568649616,-2.5562806756587757,3.167972155085041,6.5698377618946715,-1.6456842503185602,-26.36870835685978,-180.69000787391678,-78.55270334849918,-417.53362783084,1.591130274951352,-1.0148808810763716,11.150220429066708,419.7754389992005,1.1513600650954994,2.5506486930176817,7.1462093627092305,0.0,-17.53967500368439,-0.6821602705466518,14.207042150995049,115.19105565551641,-22.920416132453667,-40.59818668909841,69.73755295355063,0.19196187324179384,8.738849061892864,0.9569653383011274,0.7934778573681357,-25.828313462869865,-12.594382364405691,-297.2292739188549,18.498977534843277,267.77287054754606,-79.21864692840414,0.0,0.9025147430657011,-0.031782637357761066,26.71284434503986,-24.17314856669128,-4.686058875706287,124.210222349163,-7.415247357535953,-22.91450330203284
Black People - regardless of Hispanic identification,46.1268751459806,31.978135109366978,-77.94421943159358,74.87867128711254,-0.16990775684699205,-0.31429829206182314,-14.966814012040025,-155.90056272068844,0.05807627465571585,-4.197982623659578,46.187611218615864,-0.6949348854017683,24.28398274153947,22.78456306115815,-0.4157209618893265,-2.314837051482323,5.290156601984448,-0.6496224749292289,0.11219741733852624,0.04540046293458089,0.0,0.0,97.24227081463411,-78.42889524406739,19.711412407204133,0.09780415097712739,3.220403361789895,-0.48020215310625824,-0.26279525281273225,2.8901836154505918,0.0,0.7987143303036893,55.617979352860424,1.8838253667357063,34.5282099524239,-112.00270703681895,-1.1277308323456128,5.838594837808051,-26.03820354796961,29.02064489067427,-0.4065167107322544,22.614923082564008,0.8569009773783036,-7.429103447520118,0.0,-1.561923415676107,-335.5112088186719,0.1646903221299911,16.165187449933626,0.04786859044693,-2.671646416864967,0.4075704355139611,-0.5636584431595726,-7.8402112941317315,9.940747152070704,25.924985279347833,171.2478496723373,87.12255187053563,575.8278701784197,-0.14302119168545074,6.829885379340986,-66.60065186721518,-585.3162627744798,-0.4927253149802456,-1.1194011693929729,-1.8062566492273684,0.0,14.894967549555957,-0.6717210719148854,-5.1785871689679555,-73.27156226754062,31.544018544935604,89.97113768283525,97.01624636917091,2.758215806126176,-25.271962393518052,-0.7192279221180271,0.16702169948708692,8.373196195730332,16.25777631536571,677.3816243301308,-46.23225480172812,31.21065522214214,25.926822614477175,0.0,-3.3079487561860588,1.2931234227321151,-1.4785232787719178,17.10699313855075,5.280049927118204,101.36259533875464,13.029909665391102,125.52937429216489
Black non-Hispanic people,46.82950728606821,31.730503159035013,-81.612218949255,75.67183812680595,-0.17304869995694938,-0.2985272415676231,-15.167911455184074,-157.49966650473743,0.05124953712821571,-3.801961907710433,46.94322496789955,-0.7503850528054409,24.569809288179577,22.989371612640205,-0.4561324905772437,-2.3304546761432547,5.362436609750022,-0.6541254527494659,0.12413776843313484,0.04718789763362136,0.0,0.0,98.10705853490013,-79.87709879744146,19.42626670509032,0.09595635997307998,3.2553958688297677,-0.48368781347660394,-0.2736072631410997,2.8508047095776585,0.0,0.7906323385871128,56.46310489664691,1.8025385939245389,34.85522037605036,-113.41279226035624,-1.138622269145396,5.935813343137631,-26.42814700764562,29.785371761087845,-0.4483544495569189,23.195269603952106,0.8404456168854835,-7.589909799525779,0.0,-1.5627027048150122,-345.6952669729224,0.14180071020111923,17.1598740084884,0.05150647093948582,-2.6412404093659165,0.4138346305033624,-0.5709267467678562,-7.767306705480932,10.192596899024291,26.09666526089299,172.70519541766708,87.52438073167485,582.5288595405495,-0.282715367048364,7.373282725788654,-65.44668199174146,-593.3692938987016,-0.4947565495284469,-1.122080842499655,-1.806524509106934,0.0,15.405105733015768,-0.6714448053788707,-4.225877741034792,-74.08286359180215,31.898718468801096,91.61062179882462,96.91902682226636,2.7301245183632097,-25.909805686053353,-0.7564727846031354,0.18837610135345517,8.200620405868666,16.33720461519359,688.7439424135958,-46.86471001587487,23.268446328181312,26.173158351203515,0.0,-3.330866213406262,1.3101689559883811,-2.171745661731224,16.965410948455798,5.266153450657264,101.86196568586008,13.158180415301304,128.12310842326093
Asian People - regardless of Hispanic identification,-53.02654581462039,236.17321454847544,-109.72891207022447,-110.9634784548725,0.6735960168987472,0.36778544293206394,4.08420868805461,129.37894457455317,-0.06268599815657637,5.22787270797544,-13.318611810901446,3.1098713359548515,0.8236532505874921,-85.49375569160586,1.1649421488148575,-9.771407020171399,-3.1297351380957923,0.2153801445894976,-0.033014496852270196,0.004303438246532731,0.0,0.0,-109.51860496776592,161.42465567035092,24.898762031750124,0.06748153387911147,-4.28320662980205,4.3843647429731245,0.12487207540134179,-0.7277415629828776,0.0,-3.7574981599905275,-95.04555005821172,-0.6086965793468745,-26.142002710504123,22.107499734539772,2.0858809956721514,-1.1444846376290412,20.44376326472542,10.594556204714237,0.8051948059922986,-9.956601773810917,4.1357974929472165,18.238323590665964,0.0,1.9237165333483872,-278.9359884789286,0.29969311705646395,0.008375333650636833,0.18863362661733635,5.684512942109465,-2.351095662097618,2.9171363071006566,12.12588938326774,-0.01657736447027084,-24.94794734339141,-153.2234148162305,-7.512908314732707,-562.8924570003917,3.295836743953136,-3.551945371332916,108.65447928525835,332.78791617973013,1.5778588862444676,3.7110639495714395,8.546838438804382,0.0,-17.33492031631431,0.20896031900045098,51.751152280466336,126.65378567347732,-16.737083829607684,-9.73065058046592,191.06882223544892,-7.765951851800945,-28.167020603659388,7.192565637699987,1.7667863767482734,-6.825260397998214,-13.660850055127568,-63.45462617518445,-37.894660676090574,-369.75623371846575,-103.08112156716986,0.0,1.4573710974535465,-0.8693628111807611,19.48077959428748,-4.345324127790207,2.6058498289494207,369.4823779642392,-2.6202552219821795,-18.642971915586713
