,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
170318134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318205022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170316720003,1845199.347826087,6738508.545454546,396130.0,,,,,1614950.4736842106,,3740337.0000000005,,,,1345526.888888889,,9317237.2,,,134135.07692307694,,,,1258898.5625,1980679.6417910447,77825.25,76045.0,30638.000000000004,,,,,,6382228.0,,208308.5,2853121.0,,138267.72727272726,3488539.1666666665,7823.166666666667,,,63056.00000000001,,,247243.5,2739172.3333333335,,,,,,52889.25,100656.0,,305843.20588235295,1216110.1764705882,2023401.6666666667,16425831.375,,,10446264.0,845676.1212121212,,,100788.66666666667,,,,209321.0,3273931.2,58667.333333333336,,4018314.0,171041.0,,,4778515.0,5507.1,386241.03125,,18041331.222222224,4431784.291666667,3831838.641025641,,,91487.41666666667,205651.0,22530660.0,43745.666666666664,253711.11834319527,557359.0,845640.5
170315608003,3434275.0454545454,7683551.1,847949.75,,55025.0,,,1610428.375,,,,3763796.5,,,,,,194292.5,189432.375,,,,,2159143.0217391304,59088.28571428572,,,,,,,,,,300813.0,3309801.0,,71401.6,,,,,22985.0,1500757.75,,,810592.6756756756,,,,,,349232.5,143502.0,,271186.2388059702,382240.875,4124407.1818181816,2926167.25,,,18201557.615384616,1422958.4285714286,24180.8,98727.33333333333,21961.5,,,,168.0,1868361.1666666667,,4022436.3333333335,1868196.512195122,455985.75,,,,37807.27272727273,113433.33333333333,,9481985.714285715,6795680.388888889,,,,,337697.25,11995389.0,19612.5,,,
170318196003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318196004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318197003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
