,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
170318134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10837187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318205022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170316720003,37611054.60869565,19413256.90909091,25306742.0,,,,,28218521.157894738,,46690269.0,,,,36934504.777777776,,32154380.8,,,28266948.923076924,,,,37962817.0625,31842772.865671642,35179805.5,7242300.0,50060814.0,,,,,,6615206.5,,45188116.0,33990697.0,,27233208.727272727,28460328.666666668,38459942.5,,,11977639.0,,,34315222.0,30536719.48888889,,,,,,38895005.25,35275064.0,,29113606.05882353,29002157.470588237,27830338.333333332,16978615.5,,,4803765.0,31521030.606060605,,,29741355.333333332,,,,50487104.0,23338595.933333334,30940312.333333332,,35170922.333333336,14372460.0,,,32602452.0,30985588.3,40355366.625,,25898900.666666668,13156557.583333334,25649468.307692308,,,31787143.833333332,35029027.5,9399549.0,25079204.0,29310618.24852071,3879363.0,52064394.0
170315608003,23121614.09090909,22600427.9,27451909.0,,36967925.0,,,34844351.875,,,,41116467.0,,,,,,2565027.5,35585360.25,,,,,25382244.282608695,32541547.85714286,,,,,,,,,,44604042.25,42567472.5,,21354051.6,,,,,7347182.0,28054413.5,,,35710298.027027026,,,,,,47047623.0,37219729.0,,34506398.268656716,25308829.75,22602638.636363637,45213375.375,,,21108312.076923076,13100538.61904762,38000946.6,39130719.666666664,40244043.75,,,,13950928.0,36305262.833333336,,19204403.0,28900354.731707316,52146698.0,,,,34610410.81818182,24817755.666666668,,37143858.28571428,26927503.722222224,,,,,30405931.5,19934423.0,52016634.25,,,
170318196003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318196004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318197003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170318036041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
