,1SEC,1HR,3HR,6HR,24HR
SKA,1102.070286257526,1099.3124326608217,1094.4397802894264,1087.7453258688074,1063.770740466885
SFA,3160.9625449787372,3158.967091920183,3155.5623159960746,3151.1385672227675,3131.7127576054954
PHB,1056.5661750622487,1054.8608823341633,1052.2952818744814,1049.5844346549193,1040.5957990167913
AAI,295.20197044334975,294.7022441160372,293.8544061302682,292.84017515052,290.3656267104543
EBD,1.8084507042253521,1.7464788732394365,1.6816901408450704,1.6169014084507043,1.3661971830985915
SGG,5.480113636363637,5.295454545454546,5.018465909090909,4.759943181818182,3.799715909090909
PCL,75.60128617363344,75.48553054662379,75.39549839228296,75.30546623794213,75.04501607717042
BBA,716.101616104338,713.9472072582931,710.1261695491919,705.382081088744,688.2888857385881
BUNGALOW,0.42105263157894735,0.42105263157894735,0.41754385964912283,0.41403508771929826,0.37543859649122807
RBL,329.104968628116,327.3791758521282,324.3171103951162,320.3284721044599,308.0634220790232
CSC,543.7155372598692,543.1581169516571,542.2149039476462,540.9188304834283,535.5501372176483
OCC,18.969631236442517,18.754880694143168,18.647505422993493,18.54880694143167,18.135574837310195
QAC,60.44769568397952,60.110460863204096,59.90855888807608,59.62765179224579,58.48719824433065
SCT,150.07786711807026,149.35745521230075,148.264212159684,146.88460995909156,141.94258710678517
NAA,38.55776892430279,38.26892430278885,37.86254980079681,37.46613545816733,36.29083665338646
CSF,190.9748502994012,190.64510978043913,190.29061876247505,189.81636726546907,188.24870259481037
CST,50.25949820788531,49.92043010752688,49.59426523297491,49.10752688172043,47.82437275985663
CIAC,5.827844311377246,5.486526946107785,5.025149700598803,4.513473053892215,3.1134730538922155
SGQ,21.801983723296033,20.79237029501526,19.11648016276704,17.024872838250253,11.23499491353001
SGV,3.0457831325301203,2.950602409638554,2.8843373493975903,2.7506024096385544,2.3409638554216867
PCL3,0.0,0.0,0.0,0.0,0.0
JNS,0.0,0.0,0.0,0.0,0.0
SDR,212.52770788585457,211.54354096348573,209.716047867444,207.38778766492788,199.0240564590365
SIE,1136.548843983669,1129.8973806137897,1117.8179274278637,1103.6472200559658,1058.1649158218268
GRAF,212.62716061947654,192.66374908825674,168.37433209505878,145.61840788424678,100.68631508715983
HOP,1.3723849372384938,1.3465829846582984,1.302649930264993,1.2580195258019526,1.108786610878661
SDO,43.39798453892877,37.72390944229707,30.145775814467147,22.781336278299282,9.101049144119271
FPC,30.147368421052633,30.126315789473683,30.105263157894736,30.057894736842105,29.94736842105263
INR,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
HDF,23.302144249512672,22.37037037037037,21.539961013645225,20.600389863547758,17.879142300194932
LPRC,0.0,0.0,0.0,0.0,0.0
LIQUORCO,7.339578454332552,7.104215456674473,7.032786885245901,6.942622950819672,6.563231850117096
WBK,227.45066532764247,226.92091388400704,226.30454431333166,225.61913130805925,223.36605573688175
MWC,15.076023391812866,15.046783625730994,14.994152046783626,14.941520467836257,14.666666666666666
SCC,72.04400377714825,71.19282341831916,69.65325779036827,67.63881019830028,60.96260623229462
BBD,387.09872421604865,386.3458924526052,385.1809943960892,383.7457970668892,379.4222010253964
NOSOLCPP,8.208333333333334,7.927083333333333,7.854166666666667,7.71875,7.708333333333333
WBJ,54.74387830818699,52.57482067771457,48.80225080385852,44.804847885233734,32.63690328963641
EAB,144.944546872784,144.54829102255,143.8736349453978,143.03673237838603,139.71082116011914
WBT,73.44052592774638,70.55591054313099,66.11993118702384,61.864831653969034,51.905996559351195
ODM,4.821052631578947,4.7894736842105265,4.778947368421052,4.778947368421052,4.757894736842105
PSL,50.16875,49.95625,49.671875,49.253125,48.21875
PBE,17.40755873340143,16.620701395982294,15.370105549880831,14.04187946884576,10.316309159005788
PET,111.42380866098931,111.12176118862112,110.59956513861206,109.87823881137888,106.92589237180648
PETCO,0.0,0.0,0.0,0.0,0.0
BPI,11.905882352941177,11.791596638655463,11.656302521008403,11.499159663865546,10.854621848739496
PHF,3500.450406976041,3491.9316788215233,3478.1358441275715,3461.3321843667986,3404.3288584110396
PBLDR,15.649122807017545,15.56140350877193,15.543859649122806,15.543859649122806,15.508771929824562
CSP,42.19134396355353,41.91116173120729,41.783599088838265,41.619589977220954,41.02277904328018
CORNVEND,1.6931818181818181,1.6306818181818181,1.6022727272727273,1.5909090909090908,1.5511363636363635
SCX,18.762688614540465,18.53497942386831,18.386831275720166,18.248285322359397,17.724279835390945
RFC,7.403846153846154,7.1923076923076925,7.153846153846154,7.144230769230769,7.038461538461538
EAQ,16.813705800012173,15.948146795691072,14.533686324630272,12.973829955571786,8.986306372101515
HFB,166.2019829375144,165.90108369840902,165.3975097994005,164.75443855199447,162.0387364537699
TNP,93.31322505800465,93.18561484918793,93.11600928074246,92.97679814385151,92.62412993039443
SGA,189.91436344741422,183.8115972489812,174.0438341448605,162.5000408682757,124.88379397718383
SCB,328.25255846602874,326.3988251376215,323.1032992204529,318.90460708611965,304.3329885099937
AAD,1093.2642617449665,1091.9929072605248,1089.9033709579012,1087.3379347162904,1079.69302928615
CHECKFOR,3154.5668817000283,3151.469689782753,3146.3471682003606,3140.502181956171,3123.0529361540653
SHVR,20.244444444444444,19.997222222222224,19.772222222222222,19.72222222222222,19.494444444444444
CAFE,15.700636942675159,15.519108280254777,15.464968152866241,15.414012738853502,15.197452229299364
PBS,1478.8916309012875,1453.8555972818313,1421.682135193133,1382.308386981402,1236.6918812589413
PCE,2510.609567540491,2502.4514944064117,2489.552195692102,2482.347103022207,2457.6123225914175
PCD,2.738184546136534,2.5663915978994747,2.388597149287322,2.2948237059264818,1.9744936234058514
PCC,5.831255028157683,5.1051890587288815,4.5488736926790025,4.24798873692679,3.508648431214803
PCB,13.45996201139658,12.626212136359092,11.624912526242127,10.853943816854944,8.846945916225133
HFF,0.0,0.0,0.0,0.0,0.0
SDW,66.89202540578687,65.85391672547635,64.25335215243472,62.04375441072689,54.71700776287932
SNPBLBS,4.340425531914893,4.212765957446808,4.0638297872340425,3.872340425531915,3.1914893617021276
SWSNOREM,534.2317226362951,524.7155179633196,509.0588727912235,487.71669039443935,413.26689556988526
EAE,725.7717813614349,724.8150513598382,723.1060727021129,720.7773697376124,711.8611953802757
SDP,55.0974366443344,54.665889892222545,53.923099330032045,52.968540635013106,49.45630643751821
SFN,275.51256281407035,274.77638190954775,274.3949748743719,273.8356783919598,272.2713567839196
SFD,3174.529574172814,3170.0224965305674,3163.046249360894,3154.097845299832,3111.7073844131182
SFK,63.26633920043662,62.73297857825079,61.95374539500614,60.86928639650703,56.66884977486697
SFQ,235.04140127388536,234.09341825902337,233.7420382165605,233.60828025477707,233.13375796178343
BAG,13.627906976744185,13.590116279069768,13.549418604651162,13.497093023255815,13.377906976744185
BAM,7.046632124352332,7.020725388601036,7.0,6.963730569948186,6.813471502590674
SFB,637.1036785413581,635.4032459425717,632.6227099846122,628.9680631768429,615.6820834422089
SEL,220.02210734711835,216.68310052793666,210.7016882974043,203.40486141663,181.0360206775187
SED,1466.7287219670359,1460.9051607673603,1455.501215887598,1454.4471764388004,1450.4706835990273
SEE,4291.549222975285,4285.708667077429,4277.546655713014,4270.1070034914765,4249.194564250017
SEF,6372.0108336877065,6364.068343357026,6351.88963813458,6339.828726484823,6301.098029686329
BBK,399.56635948669367,398.2588924295926,396.40625269141333,394.5114977176815,388.39634829041427
VBL,0.00047744091668656003,0.00047744091668656003,0.0,0.0,0.0
SFC,54.32921810699588,52.90534979423868,52.806584362139915,52.68312757201646,52.11934156378601
EAF,14.893668895005899,14.289343295320487,13.334801415650807,12.222965001966182,9.193393629571373
AAE,706.0819323406299,700.7831606395389,692.8939134014959,684.567487819941,661.4315514993481
WCA,194.79443390259328,194.50474383301707,194.10626185958253,193.75332068311195,192.6799493991145
AAF,111.96529401186837,105.9121560870347,96.49361625606905,88.13585686027693,71.38868908469699
SCP,1210.471245045446,1161.813585160647,1100.104323749722,1033.3337535948845,943.1561807289478
SCS,19.884979702300406,19.562246278755076,19.403924221921514,19.192828146143437,18.366711772665763
SCQ,86.81523282226009,85.52825099375355,83.12925894378195,80.05863145939807,70.13387279954571
