,B01001001 - error,B01001001 - count,B01001002 - error,B01001002 - count,B01001003 - error,B01001003 - count,B01001004 - error,B01001004 - count,B01001005 - error,B01001005 - count,B01001006 - error,B01001006 - count,B01001007 - error,B01001007 - count,B01001008 - error,B01001008 - count,B01001009 - error,B01001009 - count,B01001010 - error,B01001010 - count,B01001011 - error,B01001011 - count,B01001012 - error,B01001012 - count,B01001013 - error,B01001013 - count,B01001014 - error,B01001014 - count,B01001015 - error,B01001015 - count,B01001016 - error,B01001016 - count,B01001017 - error,B01001017 - count,B01001018 - error,B01001018 - count,B01001019 - error,B01001019 - count,B01001020 - error,B01001020 - count,B01001021 - error,B01001021 - count,B01001022 - error,B01001022 - count,B01001023 - error,B01001023 - count,B01001024 - error,B01001024 - count,B01001025 - error,B01001025 - count,B01001026 - error,B01001026 - count,B01001027 - error,B01001027 - count,B01001028 - error,B01001028 - count,B01001029 - error,B01001029 - count,B01001030 - error,B01001030 - count,B01001031 - error,B01001031 - count,B01001032 - error,B01001032 - count,B01001033 - error,B01001033 - count,B01001034 - error,B01001034 - count,B01001035 - error,B01001035 - count,B01001036 - error,B01001036 - count,B01001037 - error,B01001037 - count,B01001038 - error,B01001038 - count,B01001039 - error,B01001039 - count,B01001040 - error,B01001040 - count,B01001041 - error,B01001041 - count,B01001042 - error,B01001042 - count,B01001043 - error,B01001043 - count,B01001044 - error,B01001044 - count,B01001045 - error,B01001045 - count,B01001046 - error,B01001046 - count,B01001047 - error,B01001047 - count,B01001048 - error,B01001048 - count,B01001049 - error,B01001049 - count,B03002001 - error,B03002001 - count,B03002002 - error,B03002002 - count,B03002003 - error,B03002003 - count,B03002004 - error,B03002004 - count,B03002005 - error,B03002005 - count,B03002006 - error,B03002006 - count,B03002007 - error,B03002007 - count,B03002008 - error,B03002008 - count,B03002009 - error,B03002009 - count,B03002010 - error,B03002010 - count,B03002011 - error,B03002011 - count,B03002012 - error,B03002012 - count,B03002013 - error,B03002013 - count,B03002014 - error,B03002014 - count,B03002015 - error,B03002015 - count,B03002016 - error,B03002016 - count,B03002017 - error,B03002017 - count,B03002018 - error,B03002018 - count,B03002019 - error,B03002019 - count,B03002020 - error,B03002020 - count,B03002021 - error,B03002021 - count
170318134001,407.0,1157.0,263.0,617.0,34.0,27.0,55.0,58.0,44.0,38.0,89.0,96.0,17.0,10.0,31.0,20.0,41.0,37.0,48.0,38.0,11.0,0.0,31.0,19.0,66.0,82.0,43.0,46.0,11.0,0.0,60.0,75.0,33.0,30.0,18.0,11.0,11.0,0.0,11.0,0.0,21.0,13.0,13.0,8.0,11.0,0.0,11.0,0.0,14.0,9.0,197.0,540.0,11.0,0.0,90.0,82.0,112.0,89.0,20.0,12.0,26.0,24.0,11.0,0.0,11.0,0.0,36.0,37.0,11.0,6.0,39.0,34.0,48.0,52.0,30.0,27.0,29.0,19.0,52.0,67.0,43.0,43.0,11.0,0.0,11.0,0.0,11.0,0.0,13.0,8.0,6.0,1.0,27.0,17.0,21.0,14.0,14.0,8.0,407.0,1157.0,129.0,210.0,117.0,118.0,73.0,92.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,401.0,947.0,100.0,105.0,11.0,0.0,57.0,38.0,11.0,0.0,11.0,0.0,399.0,804.0,11.0,0.0,11.0,0.0,11.0,0.0
170318205022,276.0,1132.0,146.0,503.0,38.0,38.0,12.0,7.0,25.0,28.0,12.0,8.0,18.0,14.0,11.0,0.0,11.0,0.0,16.0,10.0,27.0,36.0,48.0,71.0,36.0,26.0,16.0,11.0,21.0,22.0,57.0,62.0,27.0,29.0,17.0,22.0,17.0,10.0,16.0,10.0,54.0,65.0,18.0,14.0,16.0,10.0,15.0,10.0,11.0,0.0,172.0,629.0,40.0,32.0,33.0,35.0,57.0,63.0,11.0,0.0,13.0,7.0,11.0,0.0,36.0,24.0,27.0,34.0,16.0,14.0,18.0,13.0,44.0,61.0,41.0,47.0,19.0,21.0,15.0,9.0,30.0,39.0,9.0,4.0,25.0,26.0,50.0,51.0,11.0,0.0,15.0,10.0,16.0,10.0,16.0,10.0,113.0,119.0,276.0,1132.0,229.0,863.0,227.0,832.0,24.0,21.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,16.0,10.0,11.0,0.0,16.0,10.0,194.0,269.0,66.0,104.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,183.0,165.0,11.0,0.0,11.0,0.0,11.0,0.0
170316720003,400.0,986.0,206.0,539.0,78.0,51.0,23.0,11.0,11.0,0.0,20.0,10.0,60.0,39.0,80.0,51.0,77.0,49.0,33.0,19.0,11.0,0.0,27.0,14.0,36.0,18.0,75.0,68.0,81.0,82.0,25.0,14.0,45.0,30.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,26.0,16.0,58.0,57.0,19.0,10.0,11.0,0.0,208.0,447.0,11.0,0.0,11.0,0.0,85.0,81.0,58.0,36.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,22.0,13.0,11.0,0.0,61.0,40.0,54.0,36.0,76.0,83.0,11.0,0.0,66.0,85.0,11.0,0.0,11.0,0.0,11.0,0.0,33.0,30.0,37.0,28.0,18.0,15.0,11.0,0.0,11.0,0.0,400.0,986.0,400.0,986.0,31.0,20.0,401.0,952.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,25.0,14.0,11.0,0.0,25.0,14.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170315608003,338.0,666.0,185.0,368.0,36.0,20.0,33.0,18.0,11.0,0.0,47.0,35.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,17.0,10.0,29.0,26.0,65.0,35.0,57.0,46.0,31.0,19.0,35.0,30.0,40.0,25.0,11.0,0.0,46.0,46.0,11.0,0.0,11.0,0.0,40.0,26.0,11.0,0.0,23.0,14.0,30.0,18.0,174.0,298.0,29.0,16.0,43.0,44.0,42.0,34.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,15.0,9.0,11.0,0.0,47.0,37.0,42.0,22.0,45.0,37.0,11.0,0.0,17.0,11.0,30.0,16.0,11.0,0.0,29.0,19.0,44.0,23.0,11.0,0.0,11.0,0.0,18.0,11.0,11.0,0.0,30.0,19.0,338.0,666.0,174.0,331.0,174.0,331.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,315.0,335.0,255.0,239.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,129.0,69.0,33.0,27.0,28.0,15.0,18.0,12.0
170318196003,178.0,836.0,94.0,371.0,27.0,17.0,9.0,6.0,27.0,41.0,29.0,30.0,16.0,11.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,16.0,20.0,28.0,37.0,12.0,8.0,22.0,28.0,45.0,61.0,25.0,32.0,16.0,15.0,10.0,7.0,14.0,9.0,11.0,0.0,12.0,8.0,20.0,25.0,11.0,0.0,17.0,16.0,106.0,465.0,23.0,26.0,9.0,5.0,24.0,24.0,31.0,50.0,19.0,16.0,11.0,0.0,20.0,13.0,14.0,8.0,11.0,0.0,24.0,27.0,23.0,30.0,32.0,47.0,35.0,46.0,37.0,55.0,25.0,28.0,17.0,16.0,15.0,9.0,12.0,8.0,12.0,8.0,20.0,25.0,12.0,8.0,13.0,8.0,12.0,8.0,178.0,836.0,164.0,771.0,166.0,755.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,25.0,16.0,11.0,0.0,25.0,16.0,74.0,65.0,74.0,65.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318196004,172.0,884.0,106.0,454.0,43.0,48.0,24.0,21.0,55.0,94.0,44.0,43.0,14.0,9.0,11.0,0.0,11.0,0.0,11.0,0.0,12.0,8.0,23.0,27.0,16.0,13.0,27.0,29.0,41.0,54.0,32.0,42.0,21.0,18.0,11.0,0.0,11.0,7.0,11.0,0.0,11.0,0.0,15.0,11.0,14.0,22.0,11.0,0.0,12.0,8.0,90.0,430.0,18.0,16.0,12.0,8.0,43.0,53.0,28.0,49.0,21.0,20.0,11.0,0.0,17.0,11.0,11.0,0.0,15.0,15.0,29.0,40.0,22.0,15.0,18.0,20.0,59.0,83.0,22.0,26.0,13.0,8.0,16.0,10.0,11.0,7.0,15.0,10.0,13.0,8.0,17.0,15.0,13.0,8.0,12.0,8.0,11.0,0.0,172.0,884.0,171.0,865.0,169.0,835.0,18.0,14.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,25.0,16.0,11.0,0.0,25.0,16.0,30.0,19.0,30.0,19.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318197003,251.0,1498.0,152.0,745.0,42.0,62.0,52.0,75.0,111.0,152.0,18.0,20.0,12.0,11.0,13.0,12.0,10.0,6.0,17.0,16.0,11.0,0.0,27.0,25.0,41.0,52.0,31.0,45.0,58.0,103.0,18.0,21.0,38.0,65.0,16.0,14.0,11.0,7.0,16.0,15.0,16.0,10.0,16.0,10.0,17.0,17.0,11.0,7.0,11.0,0.0,146.0,753.0,50.0,46.0,64.0,102.0,53.0,118.0,20.0,26.0,11.0,0.0,11.0,0.0,12.0,7.0,27.0,18.0,11.0,0.0,18.0,12.0,42.0,52.0,46.0,87.0,37.0,55.0,21.0,28.0,40.0,70.0,21.0,24.0,21.0,22.0,12.0,7.0,11.0,0.0,23.0,27.0,14.0,9.0,21.0,18.0,23.0,25.0,251.0,1498.0,251.0,1496.0,245.0,1453.0,11.0,0.0,11.0,0.0,66.0,43.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,13.0,2.0,13.0,2.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318036042,172.0,1035.0,96.0,497.0,22.0,19.0,15.0,9.0,15.0,9.0,28.0,40.0,22.0,21.0,11.0,0.0,11.0,0.0,11.0,0.0,40.0,72.0,22.0,29.0,39.0,57.0,23.0,24.0,28.0,28.0,20.0,22.0,28.0,36.0,19.0,17.0,27.0,31.0,11.0,0.0,23.0,35.0,15.0,10.0,21.0,19.0,14.0,9.0,16.0,10.0,100.0,538.0,30.0,38.0,28.0,30.0,27.0,38.0,11.0,0.0,20.0,12.0,11.0,7.0,13.0,8.0,18.0,16.0,33.0,42.0,27.0,31.0,23.0,25.0,32.0,55.0,29.0,35.0,11.0,0.0,37.0,56.0,22.0,20.0,28.0,32.0,20.0,19.0,17.0,25.0,20.0,19.0,11.0,0.0,20.0,19.0,16.0,11.0,172.0,1035.0,145.0,954.0,137.0,805.0,24.0,22.0,11.0,0.0,69.0,81.0,11.0,0.0,11.0,0.0,47.0,46.0,11.0,0.0,47.0,46.0,95.0,81.0,95.0,81.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0
170318036044,223.0,787.0,155.0,442.0,18.0,15.0,11.0,9.0,63.0,60.0,15.0,14.0,12.0,8.0,11.0,0.0,11.0,0.0,12.0,8.0,19.0,18.0,17.0,13.0,15.0,10.0,24.0,26.0,73.0,82.0,42.0,56.0,25.0,26.0,16.0,11.0,15.0,9.0,39.0,33.0,15.0,10.0,14.0,18.0,14.0,8.0,11.0,0.0,12.0,8.0,96.0,345.0,31.0,23.0,12.0,8.0,31.0,33.0,24.0,27.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,16.0,13.0,16.0,10.0,16.0,10.0,16.0,13.0,22.0,27.0,50.0,42.0,25.0,27.0,36.0,29.0,34.0,49.0,18.0,17.0,14.0,9.0,11.0,0.0,11.0,0.0,12.0,8.0,11.0,0.0,223.0,787.0,114.0,601.0,98.0,463.0,11.0,0.0,11.0,0.0,63.0,109.0,11.0,0.0,11.0,0.0,35.0,29.0,11.0,0.0,35.0,29.0,180.0,186.0,65.0,57.0,11.0,0.0,11.0,0.0,12.0,8.0,11.0,0.0,173.0,121.0,11.0,0.0,11.0,0.0,11.0,0.0
170318036041,214.0,1179.0,114.0,458.0,20.0,18.0,42.0,38.0,11.0,0.0,15.0,9.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,36.0,46.0,26.0,37.0,13.0,8.0,45.0,47.0,23.0,18.0,62.0,70.0,27.0,28.0,11.0,0.0,22.0,21.0,22.0,20.0,27.0,21.0,19.0,25.0,14.0,9.0,22.0,17.0,29.0,26.0,131.0,721.0,23.0,27.0,23.0,27.0,19.0,12.0,28.0,32.0,47.0,42.0,11.0,0.0,11.0,0.0,19.0,18.0,31.0,40.0,48.0,76.0,30.0,37.0,32.0,38.0,22.0,21.0,45.0,59.0,40.0,61.0,23.0,21.0,16.0,11.0,17.0,8.0,21.0,19.0,25.0,24.0,39.0,68.0,22.0,38.0,41.0,42.0,214.0,1179.0,226.0,1139.0,231.0,985.0,40.0,62.0,11.0,0.0,66.0,57.0,11.0,0.0,11.0,0.0,55.0,35.0,11.0,0.0,55.0,35.0,42.0,40.0,27.0,22.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,23.0,18.0,11.0,0.0,11.0,0.0,11.0,0.0
