  Zip code    avg completion time  std dev of completion time      # of completed requests    # of unfulfilled requests
----------  ---------------------  ----------------------------  -------------------------  ---------------------------
     60635               6         10.677078252031311                                    5                            0
     60649               4.01364   8.148353176525239                                  1686                          127
     60626               3.98242   9.668469623798037                                 12853                         1485
     60645               3.9539    9.056621890394918                                  9175                         1106
     60644               3.83457   11.294612177976905                                 3760                          182
     60619               3.78028   8.702338181502288                                  1734                          143
     60642               3.65812   10.289039662398912                                14862                         1443
     60656               3.59719   9.230619146790483                                  1209                          121
     60623               3.58636   15.974219304288662                                60408                         5133
     60646               3.48263   8.918235583166672                                  2130                          177
     60660               3.45085   9.720727731979679                                  9979                          806
     60651               3.32524   9.170344794930918                                 10254                          675
     60631               3.29175   10.172258380429883                                 1042                           95
     60641               3.25889   8.387818186539349                                 37050                         4062
     60628               3.2571    7.167647243630994                                  3450                          170
     60610               3.1749    11.411525528137336                                 5626                          297
     60707               3.12006   33.16838520994512                                  2882                          226
     60614               3.06141   9.793248011410395                                 24492                         1474
     60630               3.06126   12.264556009427269                                11852                         1134
     60612               3.04202   11.271809359456356                                15564                         1069
     60615               3.01354   6.984000472033531                                  1920                           86
     60659               2.98798   7.75234994922996                                  13395                         1278
     60637               2.98586   7.0661163884745015                                 2193                           75
     60634               2.93028   8.721958066642184                                 18202                         2100
     60639               2.92043   9.53118414484053                                  45208                         3706
     60617               2.9158    7.194664579867041                                 21306                         2383
     60618               2.82626   7.808817528435943                                 78795                         9306
     60616               2.81154   10.284258451043657                                13950                          896
     60640               2.78327   7.787099900227491                                 20071                         1503
     60647               2.78305   8.305783885584884                                 86702                         6897
     60608               2.7558    11.464125994378112                                93223                         7010
     60827               2.75362   3.9273018619337767                                   69                            2
     60624               2.75349   11.123460597855898                                 4081                          126
     60633               2.74768   6.552957055057882                                  1617                          295
     60622               2.65938   10.675908518209054                                46912                         3423
     60625               2.53029   7.206375606552539                                 44964                         4718
     60629               2.52097   6.473127183190567                                 55333                         5605
     60657               2.50469   8.221525432539467                                 21332                         1294
     60620               2.47705   7.544883924191546                                  3094                          125
     60638               2.45103   5.553715456239592                                 10700                         1141
     60607               2.34551   8.603344353053746                                  9722                          444
     60613               2.30966   7.016573197040248                                 22573                         1758
     60621               2.27687   7.881781094497761                                  2391                           78
     60653               2.27454   7.773602336201517                                  1508                           41
     60643               2.27044   6.0091842203187005                                 1309                           61
     60632               2.12352   7.753090049975887                                114967                         8734
     60609               2.00446   6.681673270695411                                 51366                         3719
     60804               2         N/A                                                   1                            0
     60636               1.99625   6.613526739979894                                  4801                          136
     60652               1.97848   5.040869905522076                                  9528                          901
     60661               1.77833   9.268723758266963                                  2621                           62
     60605               1.71861   4.870064252342693                                  7065                          332
     60611               1.59794   4.481151108943809                                  4671                          173
     60654               1.5357    5.338617886226864                                  6737                          151
     60602               1.4224    5.169504891363575                                  1598                           41
     60604               1.21421   3.6023179264764216                                  929                           39
     60655               1.13579   4.197914318788663                                  1193                           35
     60606               1.13263   4.698338673614044                                  3393                           74
     60601               1.10597   4.054511798013937                                  6379                          132
     60603               1.08233   3.766645147537265                                  1251                           38
     60065               1         N/A                                                   1                            0
     60627               1         N/A                                                   1                            0
     60666               0.793103  1.858941909966673                                    29                            0

Stats calculated ignoring all requests entered before 2010
