,SKA,SFA,PHB,AAI,EBD,SGG,PCL,BBA,BUNGALOW,RBL,CSC,OCC,QAC,SCT,NAA,CSF,CST,CIAC,SGQ,SGV,PCL3,JNS,SDR,SIE,GRAF,HOP,SDO,FPC,INR,HDF,LPRC,LIQUORCO,WBK,MWC,SCC,BBD,NOSOLCPP,WBJ,EAB,WBT,ODM,PSL,PBE,PET,PETCO,BPI,PHF,PBLDR,CSP,CORNVEND,SCX,RFC,EAQ,HFB,TNP,SGA,SCB,AAD,CHECKFOR,SHVR,CAFE,PBS,PCE,PCD,PCC,PCB,HFF,SDW,SNPBLBS,SWSNOREM,EAE,SDP,SFN,SFD,SFK,SFQ,BAG,BAM,SFB,SEL,SED,SEE,SEF,BBK,VBL,SFC,EAF,AAE,WCA,AAF,SCP,SCS,SCQ
People under 30,4.632518016106347,32.274543424157734,2.772437603069286,-0.7228185686765124,0.15660040452845203,-0.035352405298393084,-1.4694955275280108,2.7647476648343425,-0.018603056414864913,3.003721275151673,-0.24642507849711118,0.020154003904826967,-0.9541279991773941,3.6653024381269925,0.3764085654098376,-4.758765327926521,0.6899966057678854,-0.09921371156275849,0.2784211802577126,0.04849993241020667,0.0,0.0,5.338387249668711,21.90824218808174,31.50733823560748,0.04404371182125287,1.4037724325122753,0.29635634175396625,-0.10906427742758777,0.8173576616671668,0.0,-0.05700227142016464,-1.7472447405093883,0.11107487650024066,3.254239617694138,-2.1769295504471518,-0.04189487321065936,2.857679229738071,0.09940300945810357,3.1018536591539574,0.10868953255583717,-0.37041664078153347,1.1230455116230695,-1.8817228939535922,0.0,0.06749338342157613,38.63211103726352,-1.0297847488050096,1.7292909868024653,0.035756040529422196,0.08225755497179865,0.4240120702602583,0.8226067044272539,0.2752629807028026,0.9228514527164131,2.7996202886602,5.622242014276268,16.25083089969652,15.241483398779652,-0.1563633664114619,-0.5459499413287885,-45.89648041156412,27.155331602039432,-0.004563572386873722,0.7687594244703223,1.3664381683709088,0.0,4.646981617098973,-0.011335316191163024,-1.1297971978231456,3.108571289672986,1.3598195279650884,1.4390894134226064,30.96524475372714,0.671277596317237,-4.680735968707954,-0.13655356063361512,-0.10953955252816602,18.764949370838767,4.767653161499118,-21.487261633128085,18.35099930788301,-26.53660945144493,-9.259121751720274,0.0,1.834381439319012,1.0777070272216698,12.598495794562345,2.8922931980443747,7.948446183424051,136.4010359776569,0.8181613243090954,3.9229088030559103
People between 30 and 59,-0.16654206758246956,12.917832164713897,-4.3300402004111485,-3.108465970825133,0.06512962596209679,-0.12488960719180515,1.359339751692126,16.199197024971088,0.026653458279375996,5.8483745720403455,-1.3186380426624922,0.03438135808462458,0.16248289546930883,-3.892308619939052,0.16629664121879723,2.483377849494356,-0.22197941126971152,0.10799297045294368,0.5624845508684779,0.023055675716101922,0.0,0.0,-10.474341415387503,15.77273468412541,30.877049205527065,0.03403177810276679,0.5683494454880154,0.6686448551214128,0.05512984711127496,2.2162880497257076,0.0,-0.14591461480772114,-1.9456716030319237,0.8705263452577345,-1.1499546035813517,9.545331294360105,0.4769144520922632,2.4495547106573055,1.8958393360497854,7.139397597814396,-0.04267285599767575,-0.22072819568543495,0.641018095981373,1.3170202331333392,0.0,0.4527439628931716,4.919918289394727,0.4043674543013365,-1.254226390111167,-0.007510171031574883,0.30283904801216843,-0.14407226653143698,1.3145970583572637,0.023711439763357545,-0.3067803025379071,-1.0413324298062734,-13.467922638528611,-8.11133659755137,-28.250397325845256,0.9399365013793212,0.17892372248428348,-46.21777509292737,43.85953800921632,0.5016892009923362,1.409253606078627,2.863174187375478,0.0,-0.39837579689327973,-0.14925961440315824,11.816897457556944,4.4133607965008546,-1.5630614831397516,-3.404886118867424,4.050811459280581,1.0437414006371706,4.130846049699634,0.2139495575621889,0.2899251386403131,4.43330620667437,3.3379649663055706,-49.0608243077608,-14.1360334353629,34.62797036144732,1.2241431999611923,0.0,1.3071045171870432,1.3493132576932365,12.506750093406142,-2.9482983885628995,5.812413786610358,164.10756907633095,-0.8039359154335324,-1.688244796460808
People 60 and older,6.188844398753078,-82.09027013267878,11.198946636316292,11.612414351294916,-0.08930112592514004,-0.10644663631806738,0.9841455018021492,-39.01634436947421,0.015721242162107206,-3.6217424354992516,-9.425528860285718,0.4522611800079763,2.8165249324391013,2.9054104408370622,1.2568262329301128,5.97790188534222,1.2015729932113182,-0.06412323635951829,0.21210136189752485,0.11887733679271931,0.0,0.0,20.054673990123778,-48.81833740082402,29.65559077946807,-0.032160991430665135,1.2737364408016039,-2.0785759337970044,0.12933064012658718,1.7696458333382388,0.0,-0.14214334436401488,11.88465218346908,-0.6875995363060579,3.8904818085881,-9.420135507535566,0.6200698920116924,3.6660247143233975,-6.071789886525689,17.05073612777848,-0.028442778048411384,6.381879647645296,-0.17448230692078334,1.7804718069307293,0.0,-0.3147435676112171,-25.96373851674949,1.729683760673027,1.6994377207796294,0.1294608798766695,-0.3773431608899938,-0.3965648973853262,1.377433458413148,-0.5414592975265851,7.509342462075906,3.678699288632712,35.17343219521935,-5.736470380256931,37.052038550047136,-0.21311019690749677,2.155983601650235,-49.55385430636934,-52.551775496302845,0.37840319899484065,0.754931427953846,0.4423675699827411,0.0,-2.93114628111963,-0.10387157334882194,4.2143259835579805,-16.55702237477334,5.254208118899862,10.514354998422652,-24.741153189856604,3.750175941462168,6.781532766602041,0.2313580724699108,-0.0794068380757204,-20.740707188231983,5.831351850610487,115.7992577262296,-12.764808896709443,7.457386371781121,22.575943179455226,0.0,-0.6339910319332298,0.8505938877605526,-1.7125432847294266,-1.5400659705623811,1.5108177731264893,204.2285221719953,2.4220447194364696,10.083389927780882
All Hispanic or Latino People,-3.4693491252755377,-136.95877671252742,119.61897889818171,-22.84137393056258,-0.028851813541933613,-0.43254940490114663,-11.81759626053219,74.04834497810707,0.05081941481397182,-0.28497945870998115,3.2105482903871936,-1.3919867184482575,-2.978336936059047,-46.74581306434267,-0.5848189949243354,8.090493151305173,-6.420360893301121,0.19896020850302853,0.1518937475138787,0.32399317186024834,0.0,0.0,-83.77224562402785,57.09743547941565,36.705589653506586,-0.11976591384891819,2.447767785996855,-2.943567080285251,-0.2560464338127374,-0.6442906679246296,0.0,0.6081794150922641,-32.635134667522465,0.8638087893767536,-15.866792542264156,30.672505909460284,1.3901542176874666,2.030411892444346,12.544964027794437,-9.716531092842994,-0.1031912591711524,-14.6246755493166,0.5003218542014253,-1.2406835748646854,0.0,0.17942368952408264,542.9928739567437,-3.6271149228239423,-11.646039758713693,0.06148000409986956,-1.208165289782604,1.1641951921953382,0.580838414665619,-7.095896450477571,-0.427189084748798,12.14100498667009,-80.02549701896892,14.090730423123853,-116.47445990188476,-3.7021745587017554,2.8971443191196458,-88.73102614450401,229.61817542158914,-0.24996789595162067,2.183474955940884,-1.262506723973894,0.0,7.148328548038559,2.3964553502878903,-31.727869015717232,67.95887309237935,-15.40325211095559,5.625391994718938,-240.91714054977032,1.8646879709263244,28.87394847908213,0.9551489603517964,-0.6844637503235111,50.51626697050339,-8.127040203364936,-170.4331955762259,34.98829216903966,-269.7642361941658,-60.86181347816651,0.0,6.657545281502813,-0.12761497008081626,-13.327514181289871,8.992101269437407,11.838255556626878,115.84891691754207,-3.0696179902986205,-17.00906485526574
All non-Hispanic or Latino People,6.51337065376184,62.74625339819062,-59.81555790047451,10.022629444291272,0.09588751924603982,0.007962543362116,3.14574548980086,-22.438551343441432,-0.005640491566626434,4.472511080396594,-2.849304501870366,0.5132690878989651,2.838701469474309,8.055360532593884,0.686951522694309,-2.402102450649582,2.913607593112773,-0.045022031235446326,0.4442460063648187,-0.022862163703541716,0.0,0.0,27.679023676877186,-14.761597504254278,26.71405428506118,0.06937475976062978,0.5974794425509835,0.7850235415084621,0.05716974976902357,2.2338275006086143,0.0,-0.28127081227341433,12.76812947863745,0.05647073476678517,6.757349612028591,-9.260693485910581,-0.009951078923380218,3.1035431751090448,-5.847432057534616,22.15780893189296,0.060209984596847024,6.507765061838902,0.7678456691088474,0.7770684123203921,0.0,0.1463308370323994,-191.0347495088914,0.8225381097619551,2.910977600993934,0.008554811460955705,0.523633721735378,-0.23601255605860097,1.2779748488100462,1.858032269787846,1.8161405129764727,-3.3253658042166774,29.22097191872833,-2.707055497982234,46.56020348544279,1.392993058671876,-0.4557301929615855,-30.00063801542225,-56.17448253031062,0.5003676425357725,0.599723535974577,3.0635855800132155,0.0,-5.527701468718207,-0.6781067898741903,17.467403241208352,-24.491275256555134,5.523468764544296,-0.5424897671333062,97.14483223166641,1.2620363400769656,-8.034543868946505,-0.20353172405775483,0.3577313278937142,-7.56581629687218,7.296929226084493,47.8715077373453,-13.778723781469006,109.46956155117596,12.424607161778452,0.0,-0.829447188337675,1.4795035003011554,17.857814111308954,-2.80879778820558,4.061043463403438,164.90637240918693,1.3723198279499047,8.6644110904871
White People - regardless of Hispanic identification,-19.156764827420357,-22.155325986263897,12.976326000643937,-29.825369845471457,0.3552814936577964,0.15332138139249513,3.5448508418189197,173.41183659611423,-0.16449816614018015,7.607148683543737,-9.86099203388789,0.9765302971824859,-2.311718684180695,-73.59551556783224,2.851969351251554,0.7341023109577647,-0.7480783482058061,0.5002584991814231,0.8818034141898372,0.04220549293832235,0.0,0.0,-111.09410156802905,74.35378894055223,29.761838489283594,-0.09090325483685743,-0.5747412311137036,0.8792351587269566,0.16249806159537294,0.06526157133934815,0.0,0.3457979818128144,-37.317776709992856,-0.7536187123408171,-24.912040498633747,72.96413835986279,0.7058495151445161,-1.6151555346834479,12.810544358639513,0.7308928397343508,0.37325721199404466,-6.043066110561707,-0.11527945423802487,5.100347628448236,0.0,2.3990104478497893,107.39497760736509,0.9740123639368128,-1.3670033636442138,0.009295683401021557,0.6840739060859197,-1.1142730061313084,2.580942851446747,3.040264437823891,-2.271095031163327,-12.971890953464248,-148.14169509133865,-48.68346604917564,-343.2477457759357,0.4818590072299166,-0.5849259296244806,-34.68750020817118,367.3257287648408,0.7089278870364286,2.6375536413760092,4.390548483348627,0.0,-4.962784531355742,-0.34039063956522897,10.277341384861295,92.5642764454479,-20.974581740315678,-30.657222314835057,-27.145296736597142,1.2522971083288905,15.549974208271014,0.9646077584792071,-0.21212635856189535,-8.263367083428982,-10.334928272135027,-263.3314643889621,-17.968159101068938,100.65401862153506,-65.40665316814028,0.0,3.2997952942041557,0.2743800120688911,21.22773915514218,-14.591347044505484,3.5087549826222264,153.6371725846126,-6.349912693287878,-21.294488716857444
White non-Hispanic people,-25.874514271634556,69.16447243043535,-34.764467567322576,-28.61279458889451,0.5371886236883134,0.262757700802168,7.020137651315132,236.18370411804221,-0.20179892781016937,10.378992963382611,-10.815209599757033,1.4833154831395963,-1.1570095524623276,-86.30295926614039,4.090172014167755,-0.9717821342138565,1.3579472026888233,0.5775918325871747,0.8833297453851401,-0.07770569832429466,0.0,0.0,-121.94919759454109,65.87277761328312,26.68739291107799,-0.023962482545116334,-1.5154404726630717,2.2730732383804457,0.295616920688532,1.4857049841912433,0.0,0.030420143911061487,-40.397316243195505,-1.3423771695696347,-28.054881904922063,86.68389052256718,0.7203799199015197,-3.5165733152834453,16.719485513118673,12.246732953192678,0.6130440761003317,-3.627381360463693,-0.16066429381116146,11.960196700351322,0.0,3.4187948076655323,-50.993408566292395,1.3180285880839953,0.15888276188827163,-0.10850729426856652,1.3172092219372296,-2.553073256242445,3.3881140268165697,6.610905768609285,-1.6135330177384792,-24.296089718296237,-177.7001530356099,-77.28543892412874,-415.5152447476399,1.5607425145863405,-1.0086783443799952,-10.153344465712118,423.59881139381224,1.2231490228585116,2.668956289179737,7.681906514579087,0.0,-16.64311981674975,-0.7663145439114107,15.479869033054014,115.21228786843145,-22.288245258364018,-40.337518383298395,74.01620050395414,0.8272653205350874,8.766220329736779,0.9364890426700163,0.8423388062467958,-23.079172700357816,-10.380987976519298,-297.3751862925042,19.114362551374576,267.4913119918896,-78.41914019229773,0.0,0.9439747479586893,0.49250004268919545,30.115093969743317,-24.132723990079544,-1.0853359490892363,173.14716519181565,-7.2823267379753265,-21.526733999424778
Black People - regardless of Hispanic identification,47.12594280074512,32.783661917221416,-77.34315375175939,74.95407940413621,-0.15987644339491408,-0.38921657732188897,-14.946014335492848,-154.83889774625862,0.06440990572317935,-2.8297492009672127,46.763572849980065,-0.6573093817531015,24.142834061114186,22.918705115440417,-0.20668577757768325,-2.3330397805356142,5.501554899154306,-0.5800910445423043,0.17584527516084558,0.07398865477588934,0.0,0.0,97.18443144340581,-75.34399634229453,24.41910622125885,0.10772342222980046,2.8923518735800036,-0.45917699407385176,-0.26279525281273225,3.094511690440658,0.0,0.7690837028216985,55.75809759589428,1.8323241912648884,34.56637623315157,-111.23784515871714,-0.9456671894498406,6.689091843401797,-26.014729694925986,30.56962408157667,-0.4065167107322544,22.787748217567096,1.2220430156808302,-7.363567131886022,0.0,-1.4828060466838169,-329.4234139205508,0.1646903221299911,16.1650141159359,0.048180156395572174,-2.638500454257594,0.42222535464448274,0.04255903116807763,-7.790304954546662,9.906926505804153,25.268832259137756,171.05224474257614,88.01555873585549,576.3949579066146,-0.10695724689376128,6.839813995148331,-82.77829493370328,-580.079685663322,-0.42937744158111885,-0.9315816727305374,-1.2435471374890699,0.0,15.488967155454125,-0.6754291431617198,1.2383420485995549,-72.93562110034597,31.56723218683293,90.06337834398289,100.61128038032297,3.290431491332648,-25.22710570640482,-0.7007561650068286,0.18383062081953375,11.145952498785038,17.998787526712103,676.7007158084681,-46.86107625304457,31.18244889299939,26.17294830847894,0.0,-3.272974931288423,1.7899112661917673,2.81607035380174,17.14989401086894,6.408304875332049,161.86423133647614,13.036404063839,125.4766520375556
Black non-Hispanic people,47.82445700469698,32.53542646975071,-81.00876878517049,75.74458591763121,-0.16300780308768703,-0.37198382597237145,-15.145706420447011,-156.43066998185878,0.05764067894998041,-2.4349028323000477,47.517640762150634,-0.7127572001344463,24.42634640590587,23.122035753454178,-0.24654908949733567,-2.3493848203711174,5.575974702977023,-0.5845079020357863,0.18583507735023322,0.07432979230225455,0.0,0.0,98.04292378864946,-76.78296296764215,24.11913617622385,0.105598303250281,2.9143689448303034,-0.46209064570699654,-0.2736072631410997,3.0571870073733485,0.0,0.7608001081330139,56.60092442092111,1.750308689308465,34.89079221286332,-112.64416287656508,-0.9529819356349157,6.785446411209301,-26.403157881383333,31.328726130320668,-0.4483544495569189,23.36807566107279,1.2053173169289286,-7.522535587898627,0.0,-1.4836973803166766,-339.5871017091493,0.14180071020111923,17.159637625072246,0.05182344542724524,-2.6083966101767886,0.42861245131148334,0.035611814427933236,-7.717553738155935,10.157895660306966,25.42491736037025,172.49383652041075,88.41790543457493,583.0866674229774,-0.24526293941957836,7.376736055142614,-81.69644431335317,-588.1252323279075,-0.4310283127165363,-0.933247618172246,-1.243915713844619,0.0,15.984178994940907,-0.6818115902216099,2.2555379014239283,-73.7453080819406,31.918277789866675,91.70245848012426,100.50958370987625,3.261652368225235,-25.864842631022217,-0.7379395135390058,0.20523014148724236,10.976391102952524,18.075372953104036,688.0583557081161,-47.49810732177674,23.2438438051933,26.41666046966243,0.0,-3.295554113395368,1.806654476321565,2.1357347110336455,17.01094128057479,6.383183771084555,162.35398675408004,13.164297347999854,128.0360099794955
Asian People - regardless of Hispanic identification,-51.229233672222925,237.00490468793532,-108.87031395949698,-110.55222442425966,0.7028007662811449,0.3901756046872985,4.096849118286445,129.09782415683569,-0.06268599815657637,6.3002594770059215,-12.601016355825656,3.1076208968978616,0.8117600130596996,-84.800843451622,1.2454760237221585,-9.82374868112174,-3.0556170891998016,0.2678289676442069,0.34395485340218457,0.03389848676362359,0.0,0.0,-107.9890292333519,162.92748988406325,30.357697073961543,0.05298399729667081,-3.0199060769231423,4.36126618946768,0.12487207540134179,0.956675628132999,0.0,-3.7613661974451977,-94.67119602361826,-0.5959397921857138,-24.93246146134212,22.64106680229388,2.098917690003563,-0.19238879825693322,20.228987062918158,12.895457643728873,0.8051948059922986,-9.773644461392223,4.14975625841808,18.180593422152228,0.0,1.927154062210539,-272.79930514556384,0.29969311705646395,-0.10831919960916006,0.18415715486710166,5.658432542467269,-2.351095662097618,3.2386449643240938,12.159895602235009,0.006020786602448896,-23.02849371551598,-150.56173161047093,-6.359599020883861,-560.5996209591681,3.294955744170739,-3.553086474635917,87.49908361795258,336.56203567924166,1.628439926527339,3.817066982636511,9.06382406323029,0.0,-16.61854883890949,-0.3707771151556283,53.884147424688614,126.68276489471802,-16.218007475133422,-9.614401388519399,194.98141862573928,-7.155823911556537,-28.144787502890964,7.1809680551014194,1.7860891426845116,-4.247835986243458,-11.564507219753008,-63.54465630929564,-36.720708307842884,-369.3001616752888,-102.14765402897649,0.0,1.4895919177044987,-0.20427123081481216,22.797062318844233,-4.298738298189537,6.575552604943582,407.00294475548867,-2.4752660914314375,-17.46365839133027
