Zip code,avg completion time,std dev of completion time,# of completed requests,# of unfulfilled requests
60804,2,N/A,1,0
60610,1.074805928016937,7.523070556005173,2834,68
60827,1.0666666666666667,1.2504544628399563,45,2
60065,1,N/A,1,0
60649,0.9888535031847133,1.2171829154391016,628,22
60661,0.9864615384615385,9.832892615519043,1625,31
60623,0.9758088266229122,2.1221639961910483,23769,705
60611,0.9087073264288454,1.2692527070143533,2607,107
60615,0.8482613277133825,2.4365686322302267,949,24
60656,0.838855421686747,1.5803075144738084,664,20
60619,0.8383705650459922,1.3950662970006769,761,28
60637,0.8308351177730193,1.083478157658166,934,14
60630,0.80387178673437,1.3532884193143933,6302,228
60642,0.7755184486937786,2.98676743277824,7426,265
60646,0.7551724137931034,2.0061314480827033,1160,43
60618,0.754950495049505,1.8321272580231238,46056,1830
60616,0.7459488415695728,2.8807225034769033,7467,215
60638,0.7218168980936691,1.1173165717272717,4249,148
60632,0.7189040610037241,2.0501841470500057,56390,1772
60644,0.7074910820451843,1.1393365667064854,1682,28
60605,0.6940540540540541,1.3991915548201657,3700,144
60652,0.6936033308099925,1.0168878556439531,5284,294
60602,0.6789667896678967,1.3192447888603254,813,13
60629,0.6774681438348394,1.2637626726075049,26447,755
60635,0.6666666666666666,0.5773502691896257,3,0
60624,0.6595840867992767,1.1453930724991779,2212,38
60625,0.659129677349109,1.372940146587409,27553,1296
60645,0.6554054054054054,0.9764584601262042,4292,201
60651,0.6423829176386148,1.0313002716632493,5573,132
60608,0.6403461330448891,1.6720820281048723,46225,1387
60607,0.6305490125022649,3.245642503190416,5519,86
60654,0.6294619072988812,1.0474464289866035,3754,54
60641,0.6268952647539071,2.025683285825651,17148,670
60660,0.613383566559024,1.1163950842770063,5574,140
60657,0.6132378725891292,1.0815536322711128,13688,399
60659,0.6063599458728011,1.116559316535033,7390,268
60614,0.6022319649262654,1.0982482747391018,15054,446
60653,0.5952662721893491,1.1812020270801047,845,8
60604,0.5880952380952381,1.2142161856778206,420,16
60640,0.5781664456233422,1.034523400965674,12064,341
60601,0.5767601905770249,1.251130232448713,3778,87
60612,0.5737742565162476,1.1313510587840518,8709,176
60609,0.5657358822881885,1.0374161922983878,27253,813
60613,0.5587367815265089,1.0371963946132963,13901,511
60647,0.5547808560087205,1.877705595938548,48621,1281
60606,0.55420054200542,1.1059948248636164,2214,43
60603,0.5541984732824428,0.9415859110173705,655,25
60617,0.5424821002386635,0.9468433225183907,8380,221
60631,0.5293072824156305,0.8970755470316328,563,12
60626,0.5264565992865636,0.9803548810402257,6728,204
60643,0.525065963060686,0.9216490208880456,758,16
60621,0.5189655172413793,1.1389953486875684,1160,16
60634,0.48368606701940037,1.2795546133674356,9072,275
60628,0.4764299182903834,0.8625201198768544,1591,35
60639,0.47629061087162233,1.0124301601407713,19022,577
60622,0.4596879063719116,1.1088243531509532,27684,683
60633,0.42416107382550333,0.8813823306205022,745,34
60636,0.38975050573162506,0.8557805457320059,2966,32
60707,0.3798780487804878,0.7920963973087515,1640,27
60620,0.3324781939456131,0.7718594479261065,1949,22
60666,0.3125,0.6020797289396148,16,0
60655,0.17678958785249457,0.6424904864418947,922,11
60627,0,N/A,0,0
