Zip code,avg completion time,std dev of completion time,# of completed requests,# of unfulfilled requests
60635,6,10.677078252031311,5,0
60626,4.439479239971851,10.184807492595093,11368,1483
60645,4.249851632047478,9.390374776940144,8425,1105
60649,4.211258697027198,8.372931053540169,1581,126
60619,4.097311139564661,9.085514750827228,1562,143
60644,4.052077404667046,11.649417566674314,3514,181
60646,3.943169398907104,9.533976811501907,1830,177
60642,3.901043594108504,10.557707535260576,13511,1441
60660,3.8742632612966603,10.360666568624794,8653,805
60623,3.870582496205825,21.109448861493895,55348,5125
60656,3.7926720285969617,9.562519068725804,1119,121
60651,3.616129734436221,9.635170878572755,9188,672
60631,3.5041753653444676,10.579523374732364,958,95
60628,3.4834227976002525,7.433276151549247,3167,170
60641,3.4781239885838704,8.630682828263259,33987,4059
60612,3.452052807195706,17.845007972329494,13786,1068
60614,3.394205072905434,10.440175201604674,21329,1473
60610,3.358586889932612,10.829564968846938,4897,296
60707,3.3113278319579895,34.478019198355994,2666,226
60630,3.2941948794898246,12.893828275690131,10663,1133
60659,3.2368225072403805,8.10750045043558,12085,1275
60616,3.2196405440414506,22.781106129208183,12352,897
60617,3.165887607769814,7.519272334963509,19254,2382
60615,3.1625282167042887,7.201589944343964,1772,86
60637,3.126891166422645,7.284032739999715,2049,74
60634,3.125795604659541,9.062741129451588,16654,2100
60618,3.096031952765477,8.202981565047597,69102,9301
60639,3.0846572154543943,9.846592479063558,42111,3700
60633,3.0294323756131747,6.9188222169472215,1427,295
60640,3.0266214639026288,8.179294506346032,17993,1498
60624,3.008028792912514,11.789917343790671,3612,126
60647,2.9977255496588326,8.65599935415311,77821,6872
60608,2.9513031305977675,11.994781683937992,84297,6996
60613,2.9006898605389844,33.91377957595717,20149,1755
60622,2.863668422042505,11.176103422938464,42536,3411
60827,2.8358208955223883,3.9565711162240693,67,2
60657,2.7355060943296237,8.703344565786903,18870,1290
60625,2.7249765675102364,7.520101227166401,40542,4712
60629,2.634372939214089,6.669983056790443,51558,5599
60620,2.6285513854787794,7.836344383977036,2851,125
60638,2.5610640870616685,5.736724376060707,9924,1137
60653,2.5244913338357198,8.250826277542131,1327,39
60621,2.518269230769231,8.403637230159253,2080,78
60607,2.479299363057325,8.700127104536463,8792,443
60643,2.3646864686468647,6.22790453238146,1212,61
60632,2.2397448712456565,8.053197347703772,105045,8707
60636,2.204507312395109,7.061778691546187,4171,136
60609,2.1634417094467113,7.064534297169788,45582,3713
60601,2.070095168374817,45.07642777279594,5464,131
60652,2.0567561419472247,5.233362940549795,8792,901
60661,1.9389010989010989,9.92785114429787,2275,62
60605,1.8379478827361564,5.1500020661044426,6140,332
60611,1.669871794871795,4.757263466801121,4056,173
60654,1.6367060434857046,5.708817534406164,5841,149
60602,1.473433242506812,5.375597105208951,1468,41
60604,1.2248520710059172,3.724721769326774,845,39
60606,1.1877789220734638,5.030821382317017,2913,74
60655,1.1465968586387434,4.2780409882005275,1146,34
60603,1.0854625550660792,3.940553651392775,1135,38
60627,1,N/A,1,0
60666,0.7931034482758621,1.858941909966673,29,0
