Zip code      avg completion time  std dev of completion time      # of completed requests    # of unfulfilled requests
----------  ---------------------  ----------------------------  -------------------------  ---------------------------
60629                   11.6666    531.2111439839549                                 51573                         5614
60625                    6.6503    298.8283961729526                                 40549                         4721
60608                    3.33033   110.69832441261461                                84298                         6997
60618                    5.51079   255.76780872542543                                69109                         9307
60639                    3.8026    147.65875854077365                                42112                         3701
60647                    2.99773   8.65599935415311                                  77821                         6873
60638                    2.56106   5.736724376060707                                  9924                         1137
60632                    5.27114   297.96380684469506                               105056                         8719
60609                    3.31226   173.57903540694335                                45584                         3715
60637                    3.12689   7.284032739999715                                  2049                           74
60607                    2.4793    8.700127104536463                                  8792                          443
60657                    4.33766   220.2628388981874                                 18871                         1291
60622                    2.86367   11.176103422938464                                42536                         3411
60623                    7.96295   360.0936552322075                                 55356                         5132
60641                    3.47812   8.630682828263259                                 33987                         4059
60616                    3.21964   22.781106129208183                                12352                          897
60614                   16.1462    620.8894678246329                                 21338                         1482
60611                    1.66987   4.757263466801121                                  4056                          173
60601                    2.0701    45.07642777279594                                  5464                          131
60605                    1.83795   5.1500020661044426                                 6140                          332
60612                    3.45205   17.845007972329494                                13786                         1068
60652                    2.05676   5.233362940549795                                  8792                          901
60615                    3.16253   7.201589944343964                                  1772                           86
60634                    3.1258    9.062741129451588                                 16654                         2100
60660                    3.87426   10.360666568624794                                 8653                          805
60630                    7.55818   311.6253987943458                                 10665                         1135
60602                    1.47343   5.375597105208951                                  1468                           41
60642                    3.90104   10.557707535260576                                13511                         1441
60654                    1.63671   5.708817534406164                                  5841                          149
60640                    3.02662   8.179294506346032                                 17993                         1498
60644                    4.05208   11.649417566674314                                 3514                          181
60610                    3.35859   10.829564968846938                                 4897                          296
60651                    3.61613   9.635170878572755                                  9188                          672
60617                    3.16589   7.519272334963509                                 19254                         2382
60628                    3.48342   7.433276151549247                                  3167                          170
60624                    3.00803   11.789917343790671                                 3612                          126
60659                    3.23682   8.10750045043558                                  12085                         1275
60636                    2.20451   7.061778691546187                                  4171                          136
60653                    2.52449   8.250826277542131                                  1327                           39
0                        5.96482   20.649156043218643                                  199                            6
60643                   28.9703    926.6459474846625                                  1213                           62
60613                    2.90069   33.91377957595717                                 20149                         1755
60603                    1.08546   3.940553651392775                                  1135                           38
60631                    3.50418   10.579523374732364                                  958                           95
60626                    4.43948   10.184807492595093                                11368                         1483
60661                    1.9389    9.92785114429787                                   2275                           62
60620                    2.62855   7.836344383977036                                  2851                          125
60606                    1.18778   5.030821382317017                                  2913                           74
60645                    6.94826   247.87315494493674                                 8426                         1106
60707                    3.31133   34.478019198355994                                 2666                          226
60649                    4.21126   8.372931053540169                                  1581                          126
60619                    4.09731   9.085514750827228                                  1562                          143
60633                    3.02943   6.9188222169472215                                 1427                          295
60604                    1.22485   3.724721769326774                                   845                           39
60656                    3.79267   9.562519068725804                                  1119                          121
                        20.319     232.29543614799337                                  627                          131
60621                   15.1004    574.0343446613402                                  2081                           79
60646                    3.94317   9.533976811501907                                  1830                          177
60655                    1.1466    4.2780409882005275                                 1146                           34
60666                    0.793103  1.858941909966673                                    29                            0
60827                    2.83582   3.9565711162240693                                   67                            2
60627                    1         N/A                                                   1                            0
60635                    6         10.677078252031311                                    5                            0
