  Zip code    avg completion time  std dev of completion time      # of completed requests    # of unfulfilled requests
----------  ---------------------  ----------------------------  -------------------------  ---------------------------
     60804               2         N/A                                                   1                            0
     60656               1.57265   2.189778201542934                                   234                           10
     60610               1.48882   11.236959524395425                                 1252                           21
     60661               1.38364   14.816659686097394                                  709                           13
     60611               1.01641   1.498108359410908                                  1158                           20
     60065               1         N/A                                                   1                            0
     60623               0.996676  2.973400959861008                                  9927                          219
     60649               0.984615  1.042780398528812                                   195                            5
     60615               0.94      2.1707388197135487                                  300                            7
     60642               0.926615  4.61437646585944                                   2848                           62
     60652               0.899927  0.985449288155975                                  1379                           55
     60616               0.874315  4.272208742962047                                  3103                           73
     60602               0.861702  1.2248994191822016                                  282                            4
     60629               0.849871  1.5848809847945782                                 7387                          155
     60604               0.837838  1.6332183246502974                                  148                            3
     60619               0.837838  1.754622192388171                                   296                            8
     60605               0.828607  1.7406535173203082                                 1587                           23
     60630               0.827269  1.5587815591792864                                 2281                           26
     60632               0.823101  2.154442136946069                                 19791                          493
     60637               0.822751  0.9595593852689172                                  378                            3
     60638               0.815333  1.3410557442658282                                 1500                           18
     60608               0.760541  2.3524391827848565                                18191                          458
     60654               0.752894  1.1135543109693942                                 1728                           18
     60644               0.733728  1.086253719513929                                   507                            8
     60606               0.730461  1.3121200268537034                                  998                           21
     60603               0.721739  0.9761149807616739                                  230                            2
     60618               0.716835  2.5615079068948976                                18604                          400
     60607               0.709763  4.870629145827539                                  2274                           36
     60624               0.697719  1.2245018889478876                                 1052                           13
     60651               0.665196  1.1337874392846505                                 2267                           31
     60609               0.656436  1.1075266935473664                                11241                          259
     60647               0.647214  2.5597371100999946                                18969                          343
     60612               0.645276  1.1968516095645394                                 3662                           59
     60641               0.642941  3.114545256457116                                  5957                          109
     60634               0.639308  1.9345439251953203                                 2717                           64
     60657               0.637458  1.1186031372849514                                 5318                           89
     60646               0.636661  1.0919517710411217                                  611                           11
     60633               0.621514  0.9144262128814883                                  251                           10
     60659               0.600879  1.3325239021321962                                 2047                           18
     60617               0.595279  0.9334851582339724                                 2923                           41
     60614               0.594415  1.1526849405782547                                 6625                          101
     60628               0.589981  0.9270670662794889                                  539                            9
     60625               0.576028  1.7780189403658018                                 9845                          231
     60613               0.563492  1.0476429003733811                                 5922                          142
     60643               0.533512  0.8750285697266869                                  373                            5
     60645               0.525346  0.8338825937882027                                 1302                           22
     60640               0.521758  1.0399442509509527                                 4665                           49
     60621               0.514382  1.207060970176614                                   591                            7
     60660               0.513601  1.1208993061190198                                 2463                           21
     60601               0.50921   1.093872037244101                                  1683                           23
     60636               0.508133  0.9337199923405614                                 1291                           15
     60639               0.505519  1.2014622617936401                                 6342                           87
     60827               0.5       0.5773502691896257                                    4                            0
     60666               0.5       0.7071067811865476                                    2                            0
     60622               0.494062  1.3638930554117263                                10104                          151
     60631               0.471186  0.852178250863099                                   295                            5
     60707               0.466431  0.8853399835058825                                  566                            4
     60653               0.420792  0.9110097832339802                                  404                            3
     60626               0.403564  0.9505206814245067                                 2862                           36
     60620               0.267959  0.6706754301147678                                  877                            3
     60655               0.260377  0.7204637665277551                                  265                            3
     60635               0         N/A                                                   0                            0
     60627               0         N/A                                                   0                            0

Stats calculated ignoring all requests entered before 2018
