SR_SHORT_CODE,SR_TYPE
SKA,Abandoned Vehicle Complaint
SFA,Alley Light Out Complaint
PHB,Alley Pothole Complaint
AAI,Alley Sewer Inspection Request
EBD,Animal In Trap Complaint
SGG,Bee/Wasp Removal
PCL,Bicycle Request/Complaint
BBA,Building Violation
BUNGALOW,Bungalow Rehab/Purchase Information Request
RBL,Business Complaints / Reopening Issue
CSC,Cab Feedback
OCC,Cable TV Complaint
QAC,City Vehicle Sticker Violation
SCT,Clean Vacant Lot Request
NAA,Clean and Green Program Request
CSF,Consumer Fraud Complaint
CST,Consumer Retail Store Complaint
CIAC,Coyote Interaction Complaint
SGQ,Dead Animal Pick-Up Request
SGV,Dead Bird
PCL3,E-Scooter
JNS,Extreme Weather Notification
SDR,Fly Dumping Complaint
SIE,Garbage Cart Maintenance
GRAF,Graffiti Removal Request
HOP,Home Buyer Program Info Request
SDO,Ice and Snow Removal Request
FPC,Inaccurate Fuel Pump Complaint
INR,Inaccurate Retail Scales Complaint
HDF,Lead Inspection Request
LPRC,Licensed Pharmaceutical Representative Complaint
LIQUORCO,Liquor Establishment Complaint
WBK,Low Water Pressure Complaint
MWC,Minimum Wage Complaint
SCC,Missed Garbage Pick-Up Complaint
BBD,No Building Permit and Construction Violation
NOSOLCPP,No Solicitation Complaint
WBJ,No Water Complaint
EAB,Nuisance Animal Complaint
WBT,Open Fire Hydrant Complaint
ODM,Outdated Merchandise Complaint
PSL,Paid Sick Leave Violation
PBE,Pavement Cave-In Inspection Request
PET,Pet Wellness Check Request
PETCO,Petcoke Dust Complaint
BPI,Porch Inspection Request
PHF,Pothole in Street Complaint
PBLDR,Protected Bike Lane - Debris Removal
CSP,Public Vehicle/Valet Complaint
CORNVEND,Pushcart Food Vendor Complaint
SCX,Recycling Inspection Request
RFC,Renters and Foreclosure Complaint
EAQ,Report an Injured Animal
HFB,Restaurant Complaint
TNP,Ridesharing Complaint
SGA,Rodent Baiting/Rat Complaint
SCB,Sanitation Code Violation
AAD,Sewer Cave-In Inspection Request
CHECKFOR,Sewer Cleaning Inspection Request
SHVR,Shared Housing/Vacation Rental Complaint
CAFE,Sidewalk Cafe Complaint
PBS,Sidewalk Inspection Request
PCE,Sign Repair Request - All Other Signs
PCD,Sign Repair Request - Do Not Enter Sign
PCC,Sign Repair Request - One Way Sign
PCB,Sign Repair Request - Stop Sign
HFF,Smokeless Tobacco at Sports Event Complaint
SDW,Snow - Object/Dibs Removal Request
SNPBLBS,Snow Removal - Protected Bike Lane or Bridge Sidewalk
SWSNOREM,Snow – Uncleared Sidewalk Complaint
EAE,Stray Animal Complaint
SDP,Street Cleaning Request
SFN,Street Light On During Day Complaint
SFD,Street Light Out Complaint
SFK,Street Light Pole Damage Complaint
SFQ,Street Light Pole Door Missing Complaint
BAG,Tobacco - General Complaint
BAM,Tobacco - Sale to Minors Complaint
SFB,Traffic Signal Out Complaint
SEL,Tree Debris Clean-Up Request
SED,Tree Planting Request
SEE,Tree Removal Request
SEF,Tree Trim Request
BBK,Vacant/Abandoned Building Complaint
VBL,Vehicle Parked in Bike Lane Complaint
SFC,Viaduct Light Out Complaint
EAF,Vicious Animal Complaint
AAE,Water On Street Complaint
WCA,Water Quality Concern
AAF,Water in Basement Complaint
SCP,Weed Removal Request
SCS,Wire Basket Request
SCQ,Yard Waste Pick-Up Request
