CODE,DESCRIPTION
B01001001,Total
B01001002,Total Male
B01001003,Male Under 5 years
B01001004,Male 5 to 9 years
B01001005,Male 10 to 14 years
B01001006,Male 15 to 17 years
B01001007,Male 18 and 19 years
B01001008,Male 20 years
B01001009,Male 21 years
B01001010,Male 22 to 24 years
B01001011,Male 25 to 29 years
B01001012,Male 30 to 34 years
B01001013,Male 35 to 39 years
B01001014,Male 40 to 44 years
B01001015,Male 45 to 49 years
B01001016,Male 50 to 54 years
B01001017,Male 55 to 59 years
B01001018,Male 60 and 61 years
B01001019,Male 62 to 64 years
B01001020,Male 65 and 66 years
B01001021,Male 67 to 69 years
B01001022,Male 70 to 74 years
B01001023,Male 75 to 79 years
B01001024,Male 80 to 84 years
B01001025,Male 85 years and over
B01001026,Total Female
B01001027,Female Under 5 years
B01001028,Female 5 to 9 years
B01001029,Female 10 to 14 years
B01001030,Female 15 to 17 years
B01001031,Female 18 and 19 years
B01001032,Female 20 years
B01001033,Female 21 years
B01001034,Female 22 to 24 years
B01001035,Female 25 to 29 years
B01001036,Female 30 to 34 years
B01001037,Female 35 to 39 years
B01001038,Female 40 to 44 years
B01001039,Female 45 to 49 years
B01001040,Female 50 to 54 years
B01001041,Female 55 to 59 years
B01001042,Female 60 and 61 years
B01001043,Female 62 to 64 years
B01001044,Female 65 and 66 years
B01001045,Female 67 to 69 years
B01001046,Female 70 to 74 years
B01001047,Female 75 to 79 years
B01001048,Female 80 to 84 years
B01001049,Female 85 years and over
